beta,seed,n,k,real,imag,square
1.0001,22,50000,4,-0.0025425177723681033,-0.1540972379708577,0.023752423146869955
1.0001,22,200000,4,-0.028872986741266753,-0.09470743025668604,0.009803146709186417
1.0001,22,1000000,4,-0.045338020386333756,-0.013169394976949024,0.0022289690566105057
1.0001,22,50000,8,-0.01584915480439441,0.05575303902037925,0.0033595970680215903
1.0001,22,200000,8,-0.010724715238466175,-0.04357463827388462,0.0020137686176460797
1.0001,22,1000000,8,-0.03001696579517705,-0.028605340267321484,0.0017192837273580731
1.0001,23,50000,1,0.31009477244168615,-0.02008320705008753,0.09656210310107782
1.0001,23,200000,1,0.259683316255875,0.1746869406709416,0.09795095198262184
1.0001,23,1000000,1,-0.012632390673872536,0.08150804685152642,0.006803138995687967
1.0001,23,50000,2,-0.08376332764409739,-0.20143172935662848,0.04759103664961443
1.0001,23,200000,2,-0.11755181945019183,-0.02066473343275283,0.014245461463897229
1.0001,23,1000000,2,0.04960157437575352,-0.05707033126442594,0.005717338891184721
1.0001,23,50000,4,-0.028068150526897283,0.08249486181151067,0.007593223299300806
1.0001,23,200000,4,-0.021691174749072326,0.10269213459746325,0.011016181570178302
1.0001,23,1000000,4,0.028672972722554896,0.014550557371681679,0.001033858084574977
1.0001,23,50000,8,0.06725268448047222,0.0357137524518549,0.005798395684022322
1.0001,23,200000,8,-0.01196561880807437,-0.03549894862490072,0.0014033513869334835
1.0001,23,1000000,8,-0.010213522914172886,-0.031005298970742508,0.0010656446145834609
1.0001,24,50000,1,-0.13991236430117715,-0.691779903477705,0.4981349045399682
1.0001,24,200000,1,0.10997316959742902,-0.25150425497843565,0.07534848830356286
1.0001,24,1000000,1,0.07581561913231104,-0.02378591754276978,0.006313777977767092
1.0001,24,50000,2,-0.3213139457471248,0.3686775582744227,0.23916579370677665
1.0001,24,200000,2,-0.1713851612777974,0.10588907802348331,0.04058537035087996
1.0001,24,1000000,2,-0.030217240684190416,-0.017788906488055905,0.0012295268286070902
1.0001,24,50000,4,-0.20935295875968538,-0.14182651212160005,0.06394342088201291
1.0001,24,200000,4,-0.05805707406124847,-0.007989679026615846,0.0034344588195016354
1.0001,24,1000000,4,-0.04572847569438337,-0.010777486598941335,0.0022072477067221707
