beta,seed,n,k,lag,real,imag
1.0001,8,1000000,4,1,0.9990998970099374,0.00018377881759053756
1.0001,8,1000000,4,64,0.9425333605724261,0.01077374643520144
1.0001,8,1000000,4,1024,0.3879286274629336,0.04072237270599446
1.0001,8,1000000,4,4096,-0.007612391914302682,0.021299626553748
1.0001,9,50000,1,1,0.9998537041378049,-0.00011900753282237253
1.0001,9,50000,1,64,0.9906856689724013,-0.00749316091122959
1.0001,9,50000,1,1024,0.8643966935002787,-0.10063059017578146
1.0001,9,50000,1,4096,0.4807133887770512,-0.24597105752794374
1.0001,9,200000,1,1,0.9998305677255488,-5.864418735930502e-06
1.0001,9,200000,1,64,0.9892149219288425,-0.00034269515642138394
1.0001,9,200000,1,1024,0.8419818743317894,0.004590990086592833
1.0001,9,200000,1,4096,0.5014860036657915,0.0017228931269335527
1.0001,9,1000000,1,1,0.9998346873815496,-1.0074359399507053e-05
1.0001,9,1000000,1,64,0.9896095075022261,-0.0006344423666175672
1.0001,9,1000000,1,1024,0.8538350531847457,-0.0067561265942223964
1.0001,9,1000000,1,4096,0.5545159282604941,-0.02561740986215704
1.0001,9,50000,4,1,0.9996957727715764,-0.0002549456159814444
1.0001,9,50000,4,64,0.9795256700625676,-0.017313611738317566
1.0001,9,50000,4,1024,0.6571295564314293,-0.36551218945303354
1.0001,9,50000,4,4096,0.008901798077737165,-0.1943035451099196
1.0001,9,200000,4,1,0.9993646707717877,3.602918011976284e-05
1.0001,9,200000,4,64,0.9609663934533792,0.002656069742373163
1.0001,9,200000,4,1024,0.5420989791999139,-0.05688789923743442
1.0001,9,200000,4,4096,0.07636881945213117,0.10487838514830486
1.0001,9,1000000,4,1,0.999296991361856,-4.355955014820729e-05
1.0001,9,1000000,4,64,0.9567967738480575,-0.001771763846167485
1.0001,9,1000000,4,1024,0.544409610508092,-0.040920925991602346
1.0001,9,1000000,4,4096,0.19695145008045273,-0.01343604897715419
1.0001,10,50000,1,1,0.9997320474297625,-6.849776408611718e-05
1.0001,10,50000,1,64,0.9830195620882605,-0.005357265713655065
1.0001,10,50000,1,1024,0.7396019200417782,-0.10127535768774924
1.0001,10,50000,1,4096,0.3280970070421339,0.04276048207278315
1.0001,10,200000,1,1,0.9998028985862054,2.2202327310281226e-05
1.0001,10,200000,1,64,0.9870572021038412,0.0013318399859997545
1.0001,10,200000,1,1024,0.8045662346402203,0.014254101458041894
1.0001,10,200000,1,4096,0.4106826183289363,0.06065734076037139
1.0001,10,1000000,1,1,0.9997739074937527,2.8391391103684e-05
1.0001,10,1000000,1,64,0.9856141071320629,0.0017947057210409092
1.0001,10,1000000,1,1024,0.7860674311292084,0.03524471581454826
