row_id,split,alpha,seed,estimated_location,estimated_scale
243,test,0.54,20264837,0.005500393842833457,1.098547914877461
244,test,0.54,20264838,-0.06574197363405604,1.081789329365698
245,test,0.54,20264839,0.056756082262078955,1.0576053928667966
246,test,0.54,20264840,0.004989167249207344,1.0795452724544734
247,test,0.54,20264841,-0.042851755012625364,1.076980628209652
248,test,0.54,20264842,-0.02561272303087036,1.1135191628472052
249,test,0.54,20264843,-0.08194820914208964,1.054092849441314
250,test,0.54,20264844,0.005265985887042983,1.0667104645869019
251,test,0.54,20264845,-0.04399523876238934,1.0556668869465746
252,test,0.54,20264846,-0.000632478903093795,1.0619397017314194
253,test,0.54,20264847,0.040038084229313514,1.1020328887124125
254,test,0.54,20264848,0.007879689216171683,1.0528178142734812
255,test,0.54,20264849,0.027412287425380884,1.0871905932938286
256,test,0.54,20264850,0.02772223946473254,1.1112303635418315
257,test,0.54,20264851,0.03305042703392122,1.1224513539368304
258,test,0.54,20264852,0.0019447719311645553,1.0873109736512865
259,test,0.54,20264853,-0.014151049172794857,1.0650068485144435
260,test,0.54,20264854,0.07827048327662517,1.0595761341057255
261,test,0.54,20264855,-1.896143428878008e-05,1.061157018084181
262,test,0.54,20264856,-0.00036788042682558086,1.0902890101420253
263,test,0.54,20264857,0.039588351689310367,1.05482598999565
