distribution,node_count,initialization,coupling_strength,seed_count,finite_seed_count,mean_tm_order,std_tm_order,mean_q05_tm_order,median_sync_residual,synchronization_success_rate
uniform_positive,128,global,0.475,10,10,0.9597166100270421,0.040896493209191476,0.7104110614701883,4.767887253338517e-07,0.8
uniform_positive,128,global,0.5,10,10,0.999795339245184,0.0005728096620631357,0.9997813077616098,0.0,1.0
uniform_positive,128,global,0.525,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,128,global,0.55,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,128,global,0.575,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,128,global,0.6,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,128,local,0.0,10,10,0.05965158293698828,0.001367824751383498,0.01359582595039005,0.3646840826684599,0.0
uniform_positive,128,local,0.4,10,10,0.7523768975434648,0.044535370826548265,0.08098899423855223,0.017080228102442644,0.0
uniform_positive,128,local,0.425,10,10,0.8250220812926623,0.04502656793144434,0.12672575354628096,0.004007589049096963,0.0
uniform_positive,128,local,0.45,10,10,0.8403355970928471,0.03673551109603824,0.1544744282334775,0.0025699961988251596,0.0
uniform_positive,128,local,0.475,10,10,0.9616582679121753,0.03404493074410269,0.7006715609272355,9.235797933853972e-06,0.8
uniform_positive,128,local,0.5,10,10,0.9935071353486649,0.012115639817447788,0.9712075727754167,0.0,1.0
uniform_positive,128,local,0.525,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,128,local,0.55,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,128,local,0.575,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,128,local,0.6,10,10,1.0,0.0,0.9999999999999998,0.0,1.0
uniform_positive,256,global,0.0,10,10,0.04201635440601985,0.0007218685061658864,0.009702414826387893,0.3653067076624913,0.0
uniform_positive,256,global,0.4,10,10,0.7508989391987952,0.04368140546029471,0.06804246562056807,0.021626414545688772,0.0
uniform_positive,256,global,0.425,10,10,0.7856782744587875,0.04398136118458652,0.09186298595132325,0.007972327211039701,0.0
