beta,coupling_form,coupling,lambda_parallel,lambda_perp_local,local_stable,basin_success_rate,divergence_rate,median_final_error,p90_final_error
1.05,state_diffusive,0.0,0.6628757220200099,0.6628757220200099,False,0.0,0.0,37.33258760552221,276.4384966533535
1.05,state_diffusive,0.05,0.6628757220200099,0.5896449117343112,False,0.0,0.0,32.26407828174304,190.62110806216674
1.05,state_diffusive,0.1,0.6628757220200099,0.509423887818694,False,0.0,0.0,35.63606670399689,341.6585815417095
1.05,state_diffusive,0.15000000000000002,0.6628757220200099,0.4206508608238013,False,0.01171875,0.0,41.90846753676986,322.2142102316528
1.05,state_diffusive,0.2,0.6628757220200099,0.3211545884392976,False,0.13671875,0.0,34.30679065658404,181.98948301036114
1.05,state_diffusive,0.25,0.6628757220200099,0.20778030117039675,False,0.40625,0.0,4.211066405579855,183.2624900688586
1.05,state_diffusive,0.30000000000000004,0.6628757220200099,0.07566856397871254,False,0.54296875,0.0,0.0,183.6205054182554
1.05,state_diffusive,0.35000000000000003,0.6628757220200099,-0.08329913102265504,True,0.5859375,0.0,0.0,222.56970244669566
1.05,state_diffusive,0.4,0.6628757220200099,-0.28444269368995756,True,0.5625,0.0,0.0,222.22556870301347
1.05,state_diffusive,0.45,0.6628757220200099,-0.5633392981381887,True,0.6484375,0.0,0.0,261.7743696036543
1.05,state_diffusive,0.5,0.6628757220200099,-1.0531234836016228,True,0.1640625,0.0,86.95875390745276,718.0792865130763
1.05,state_diffusive,0.55,0.6628757220200099,-1.6934978253268935,True,0.2109375,0.7890625,0.0,0.0
1.05,state_diffusive,0.6000000000000001,0.6628757220200099,-1.2577515699294486,True,0.234375,0.765625,0.0,0.0
1.05,state_diffusive,0.65,0.6628757220200099,-0.9543604931673307,True,0.25390625,0.74609375,0.0,0.0
1.05,state_diffusive,0.7000000000000001,0.6628757220200099,-0.7209004073425516,True,0.2109375,0.7890625,0.0,0.0
1.05,state_diffusive,0.75,0.6628757220200099,-0.5344438169711492,True,0.2265625,0.7734375,0.0,0.0
1.05,state_diffusive,0.8,0.6628757220200099,-0.37312458721296626,True,0.21484375,0.78515625,0.0,0.0
1.05,state_diffusive,0.8500000000000001,0.6628757220200099,-0.23382041506272236,True,0.15234375,0.84765625,0.0,0.0
1.05,state_diffusive,0.9,0.6628757220200099,-0.11571677658397757,True,0.11328125,0.88671875,0.0,0.0
1.05,state_diffusive,0.9500000000000001,0.6628757220200099,-0.006851632654739606,True,0.0546875,0.94140625,0.0,0.0
1.05,state_diffusive,1.0,0.6628757220200099,0.08895568697039191,False,0.0078125,0.9921875,0.0,0.0
1.1,output_cross,0.0,0.9010469796371766,0.9010469796371766,False,0.0,0.0,34.24770018382519,296.9625930131617
1.1,output_cross,0.025,0.9010469796371766,0.8497536852496261,False,0.0,0.0,39.76860396818731,224.34582658917407
1.1,output_cross,0.05,0.9010469796371766,0.7956864639793503,False,0.0,0.0,42.72798835777189,272.41144157116554
1.1,output_cross,0.07500000000000001,0.9010469796371766,0.7385280501394016,False,0.0,0.0,41.44345300489016,215.9491947411319
1.1,output_cross,0.1,0.9010469796371766,0.6779034283229668,False,0.0,0.0,41.14321395795129,256.25747964742766
1.1,output_cross,0.125,0.9010469796371766,0.6133649071853956,False,0.0,0.0,29.136593161327767,242.89293655553914
1.1,output_cross,0.15000000000000002,0.9010469796371766,0.5443720356984442,False,0.0,0.0,30.68680075643961,282.4261691743751
1.1,output_cross,0.17500000000000002,0.9010469796371766,0.47026406354472217,False,0.0,0.0,24.75917714700794,122.19503156738327
1.1,output_cross,0.2,0.9010469796371766,0.3902213558711859,False,0.015625,0.0,17.74740375406683,119.88451634218879
1.1,output_cross,0.225,0.9010469796371766,0.3032099788815562,False,0.078125,0.0,10.890278481366837,100.95665522052519
1.1,output_cross,0.25,0.9010469796371766,0.20789979907723127,False,0.21484375,0.0,5.787702824498433,98.19851180602778
1.1,output_cross,0.275,0.9010469796371766,0.10253928341940487,False,0.62890625,0.0,0.0,11.56224448058093
1.1,output_cross,0.30000000000000004,0.9010469796371766,-0.015243752236978705,True,0.859375,0.0,0.0,0.0002858647091924099
1.1,output_cross,0.325,0.9010469796371766,-0.14877514486150117,True,0.9609375,0.0,0.0,0.0
1.1,output_cross,0.35000000000000003,0.9010469796371766,-0.3029258246887596,True,1.0,0.0,0.0,0.0
