case,window,method,budget,terms,actual_bytes,under_budget,qr_prequant_mse,decoded_mse,codec_roundtrip
b1.1_float64,2,adaptive_tm,80,7,79,True,0.6786651520684597,0.6786651520684599,True
b1.1_float64,2,adaptive_tm,144,14,142,True,0.6341559861681048,0.634155986168105,True
b1.1_float64,2,fixed_tm_a0,diagnostic_m,2,,,0.8725837891324345,0.8725837891324345,
b1.1_float64,2,adaptive_tm,diagnostic_m,2,,,0.7850191237711139,0.7850191237711139,
b1.1_float64,2,fixed_tm_a0,diagnostic_m,4,,,0.8025448203863781,0.8025448203863781,
b1.1_float64,2,adaptive_tm,diagnostic_m,4,,,0.7231422970459942,0.7231422970459942,
b1.1_float64,2,fixed_tm_a0,diagnostic_m,8,,,0.711644194840038,0.711644194840038,
b1.1_float64,2,adaptive_tm,diagnostic_m,8,,,0.6703573927345541,0.6703573927345541,
b1.1_float64,3,fixed_tm_a0,48,4,48,True,0.7182792433911039,0.718279243391104,True
b1.1_float64,3,fixed_tm_a0,80,8,80,True,0.6374773474054387,0.6374773474054387,True
b1.1_float64,3,fixed_tm_a0,144,16,144,True,0.5573041386708599,0.5573041386708599,True
b1.1_float64,3,fourier_low,48,4,48,True,0.6619964357103665,0.6619964357103665,True
b1.1_float64,3,fourier_low,80,8,80,True,0.45187067407716747,0.45187067407716747,True
b1.1_float64,3,fourier_low,144,16,144,True,0.35700887108691026,0.35700887108691043,True
b1.1_float64,3,adaptive_tm,48,3,43,True,0.6924825191581289,0.692482519158129,True
b1.1_float64,3,adaptive_tm,80,7,79,True,0.5927177551683476,0.592717755168348,True
b1.1_float64,3,adaptive_tm,144,14,142,True,0.5515537363938564,0.5515537363938567,True
b1.1_float64,3,fixed_tm_a0,diagnostic_m,2,,,0.7896401151245281,0.7896401151245281,
b1.1_float64,3,adaptive_tm,diagnostic_m,2,,,0.7325161973950709,0.7325161973950709,
b1.1_float64,3,fixed_tm_a0,diagnostic_m,4,,,0.7182792433911039,0.7182792433911039,
b1.1_float64,3,adaptive_tm,diagnostic_m,4,,,0.6394931867033239,0.6394931867033239,
b1.1_float64,3,fixed_tm_a0,diagnostic_m,8,,,0.6374773474054387,0.6374773474054387,
b1.1_float64,3,adaptive_tm,diagnostic_m,8,,,0.5842259752578516,0.5842259752578516,
b1.1_float64,4,fixed_tm_a0,48,4,48,True,0.7945006661833043,0.7945006661833043,True
b1.1_float64,4,fixed_tm_a0,80,8,80,True,0.7138923957635244,0.7138923957635245,True
b1.1_float64,4,fixed_tm_a0,144,16,144,True,0.6299795035311213,0.6299795035311214,True
b1.1_float64,4,fourier_low,48,4,48,True,0.7500331597526819,0.750033159752682,True
