key,initial_key,suite,beta,gamma,kappa_c,delta,kappa,lambda_perp,eta,horizon,pairs,invalid,confirmed_rate,confirmed_ci_low,confirmed_ci_high,unconfirmed_rate,ever_entered_rate,releave_given_entered,median_candidate_time,median_tail_dwell
main_2_0,main_2,main,1.5,0.8585596366401105,0.40350034891315095,0.002,0.40550034891315095,-0.020943250367857713,1e-06,7500,512,0,0.919921875,0.8931649760362443,0.9404244779464908,0.080078125,1.0,0.8359375,1760.0,5741.0
main_2_0,main_2,main,1.5,0.8585596366401105,0.40350034891315095,0.002,0.40550034891315095,-0.020943250367857713,1e-06,15000,512,0,0.978515625,0.9619423364720409,0.9879619250431689,0.021484375,1.0,0.84375,1989.5,13011.5
main_2_0,main_2,main,1.5,0.8585596366401105,0.40350034891315095,0.002,0.40550034891315095,-0.020943250367857713,1e-06,30000,512,0,0.994140625,0.9829162193160559,0.998005324207814,0.005859375,1.0,0.849609375,2154.5,27846.5
main_2_1,main_2,main,1.5,0.8585596366401105,0.40350034891315095,0.005,0.40850034891315096,-0.05320423364235838,1e-06,7500,512,0,1.0,0.9925530242771171,0.9999999999999999,0.0,1.0,0.681640625,415.0,7086.0
main_2_1,main_2,main,1.5,0.8585596366401105,0.40350034891315095,0.005,0.40850034891315096,-0.05320423364235838,1e-06,15000,512,0,1.0,0.9925530242771171,0.9999999999999999,0.0,1.0,0.681640625,415.0,14586.0
main_2_1,main_2,main,1.5,0.8585596366401105,0.40350034891315095,0.005,0.40850034891315096,-0.05320423364235838,1e-06,30000,512,0,1.0,0.9925530242771171,0.9999999999999999,0.0,1.0,0.681640625,415.0,29586.0
main_2_2,main_2,main,1.5,0.8585596366401105,0.40350034891315095,0.01,0.41350034891315096,-0.10939901240643057,1e-06,7500,512,0,1.0,0.9925530242771171,0.9999999999999999,0.0,1.0,0.42578125,128.0,7373.0
main_2_2,main_2,main,1.5,0.8585596366401105,0.40350034891315095,0.01,0.41350034891315096,-0.10939901240643057,1e-06,15000,512,0,1.0,0.9925530242771171,0.9999999999999999,0.0,1.0,0.42578125,128.0,14873.0
main_2_2,main_2,main,1.5,0.8585596366401105,0.40350034891315095,0.01,0.41350034891315096,-0.10939901240643057,1e-06,30000,512,0,1.0,0.9925530242771171,0.9999999999999999,0.0,1.0,0.42578125,128.0,29873.0
main_2_3,main_2,main,1.5,0.8585596366401105,0.40350034891315095,0.02,0.42350034891315097,-0.2322532127922159,1e-06,7500,512,0,1.0,0.9925530242771171,0.9999999999999999,0.0,1.0,0.1796875,49.0,7452.0
main_2_3,main_2,main,1.5,0.8585596366401105,0.40350034891315095,0.02,0.42350034891315097,-0.2322532127922159,1e-06,15000,512,0,1.0,0.9925530242771171,0.9999999999999999,0.0,1.0,0.1796875,49.0,14952.0
main_2_3,main_2,main,1.5,0.8585596366401105,0.40350034891315095,0.02,0.42350034891315097,-0.2322532127922159,1e-06,30000,512,0,1.0,0.9925530242771171,0.9999999999999999,0.0,1.0,0.1796875,49.0,29952.0
sensitivity_0_0,sensitivity,sensitivity,1.2,0.6585696604057538,0.3485318486896931,-0.01,0.3385318486896931,0.06393253723082126,0.0001,7500,512,0,0.267578125,0.2310669116922363,0.30755101842894744,0.732421875,1.0,0.998046875,,117.0
sensitivity_0_1,sensitivity,sensitivity,1.2,0.6585696604057538,0.3485318486896931,-0.01,0.3385318486896931,0.06393253723082126,1e-06,7500,512,0,0.25,0.21444818972233134,0.28927529813911007,0.75,1.0,1.0,,91.5
sensitivity_0_2,sensitivity,sensitivity,1.2,0.6585696604057538,0.3485318486896931,-0.01,0.3385318486896931,0.06393253723082126,1e-08,7500,512,0,0.26171875,0.225518645748377,0.30146780361955927,0.73828125,1.0,0.998046875,,75.5
sensitivity_1_0,sensitivity,sensitivity,1.2,0.6585696604057538,0.3485318486896931,0.002,0.3505318486896931,-0.013292045053434176,0.0001,7500,512,0,0.89453125,0.8649245176143979,0.9182618531042649,0.10546875,1.0,0.86328125,2588.5,4912.5
sensitivity_1_1,sensitivity,sensitivity,1.2,0.6585696604057538,0.3485318486896931,0.002,0.3505318486896931,-0.013292045053434176,1e-06,7500,512,0,0.873046875,0.8414051435005794,0.899132464456176,0.126953125,1.0,0.916015625,2554.0,4947.0
sensitivity_1_2,sensitivity,sensitivity,1.2,0.6585696604057538,0.3485318486896931,0.002,0.3505318486896931,-0.013292045053434176,1e-08,7500,512,0,0.8515625,0.8181518841641696,0.8797369610306786,0.1484375,1.0,0.8984375,2792.5,4708.5
sensitivity_2_0,sensitivity,sensitivity,1.2,0.6585696604057538,0.3485318486896931,0.01,0.3585318486896931,-0.06830076780529959,0.0001,7500,512,0,0.998046875,0.9890207217875779,0.9996551422384565,0.001953125,1.0,0.65234375,314.0,7187.0
sensitivity_2_1,sensitivity,sensitivity,1.2,0.6585696604057538,0.3485318486896931,0.01,0.3585318486896931,-0.06830076780529959,1e-06,7500,512,0,0.998046875,0.9890207217875779,0.9996551422384565,0.001953125,1.0,0.67578125,344.5,7156.5
sensitivity_2_2,sensitivity,sensitivity,1.2,0.6585696604057538,0.3485318486896931,0.01,0.3585318486896931,-0.06830076780529959,1e-08,7500,512,0,0.99609375,0.985870592855346,0.9989281109196064,0.00390625,1.0,0.68359375,330.0,7171.0
