beta,epsilon,t,log_gain,theory
1.01,0.1,4096,3109.690071591681,3337.342814959765
1.01,0.1,8192,6500.482566181626,6674.68562991953
1.01,0.1,16384,13420.452184789554,13349.37125983906
1.01,0.1,32768,26827.05728583197,26698.74251967812
1.01,0.1,65536,53847.41953015855,53397.48503935624
1.01,0.1,131072,108070.22028270217,106794.97007871247
1.01,0.1,200000,165517.39253298202,162956.19213670728
1.01,0.5,1,-0.43067980024136043,1.0355591314790602
1.01,0.5,2,0.7150950676213458,2.0711182629581204
1.01,0.5,4,1.6171319911869648,4.142236525916241
1.01,0.5,8,10.959880621733022,8.284473051832482
1.01,0.5,16,19.68742115755876,16.568946103664963
1.01,0.5,32,31.568297226762077,33.13789220732993
1.01,0.5,64,47.94898915746974,66.27578441465985
1.01,0.5,128,108.80490260220877,132.5515688293197
1.01,0.5,256,244.09747101679528,265.1031376586394
1.01,0.5,512,493.93709313244307,530.2062753172788
1.01,0.5,1024,969.5382948027218,1060.4125506345576
1.01,0.5,2048,2001.0372066638465,2120.8251012691153
1.01,0.5,4096,4309.382084198212,4241.650202538231
1.01,0.5,8192,8501.83067588195,8483.300405076461
1.01,0.5,16384,16758.854612379902,16966.600810152922
1.01,0.5,32768,33720.21706504678,33933.201620305845
1.01,0.5,65536,67605.23941069264,67866.40324061169
1.01,0.5,131072,135379.75069213094,135732.80648122338
1.01,0.5,200000,206873.39319734953,207111.82629581203
1.01,0.9,1,0.031443383707976336,0.5803330239824791
1.01,0.9,2,2.9185613196593563,1.1606660479649582
1.01,0.9,4,5.916071153363058,2.3213320959299164
1.01,0.9,8,6.120669499084211,4.642664191859833
1.01,0.9,16,12.204803375194698,9.285328383719666
1.01,0.9,32,14.787393752492752,18.57065676743933
1.01,0.9,64,14.13185916812141,37.14131353487866
1.01,0.9,128,29.095455645941225,74.28262706975732
1.01,0.9,256,83.33861668433809,148.56525413951465
1.01,0.9,512,232.65174072030752,297.1305082790293
1.01,0.9,1024,528.8449332081065,594.2610165580586
1.01,0.9,2048,1092.3844803927698,1188.5220331161172
1.01,0.9,4096,2225.5262266862783,2377.0440662322344
1.01,0.9,8192,4386.9406892785955,4754.088132464469
1.01,0.9,16384,9268.751099217296,9508.176264928938
1.01,0.9,32768,18590.049612902327,19016.352529857875
1.01,0.9,65536,38301.85656632132,38032.70505971575
1.01,0.9,131072,76006.14479252891,76065.4101194315
1.01,0.9,200000,116824.3898433185,116066.60479649583
1.1,0.0,1,5.080460540267695,0.9101573245261023
1.1,0.0,2,5.6947415051726304,1.8203146490522046
1.1,0.0,4,10.4831068227891,3.6406292981044093
1.1,0.0,8,11.883866711609768,7.2812585962088185
1.1,0.0,16,18.69686799637179,14.562517192417637
1.1,0.0,32,32.786720126496704,29.125034384835274
1.1,0.0,64,71.2439557017418,58.25006876967055
1.1,0.0,128,135.3610982589321,116.5001375393411
1.1,0.0,256,285.92851662298915,233.0002750786822
1.1,0.0,512,500.17638489850657,466.0005501573644
1.1,0.0,1024,936.6902713000505,932.0011003147288
1.1,0.0,2048,1904.3879102346823,1864.0022006294575
1.1,0.0,4096,3817.5177300906034,3728.004401258915
1.1,0.0,8192,7491.164235334867,7456.00880251783
1.1,0.0,16384,15114.625015563362,14912.01760503566
1.1,0.0,32768,29871.35369821266,29824.03521007132
1.1,0.0,65536,59400.070974321796,59648.07042014264
1.1,0.0,131072,119258.82324730286,119296.14084028528
1.1,0.0,200000,180940.47723572224,182031.46490522046
1.1,0.01,1,4.593059792340593,0.9338800986171674
1.1,0.01,2,5.544960000877788,1.8677601972343347
1.1,0.01,4,9.244307202366512,3.7355203944686695
1.1,0.01,8,10.277783757609706,7.471040788937339
1.1,0.01,16,19.417128498974296,14.942081577874678
1.1,0.01,32,43.01197352106885,29.884163155749356
1.1,0.01,64,70.62738180610081,59.76832631149871
1.1,0.01,128,104.01078043553383,119.53665262299742
1.1,0.01,256,245.56158376166354,239.07330524599485
1.1,0.01,512,480.63263932348985,478.1466104919897
