beta,epsilon,seed,x0,parallel,transverse,scale,ks,cayley_real,cayley_imag,unit_error,max_abs,zeros
1.0001,0.01,17,-0.22032566170837928,0.3388208589937991,0.3218649545524727,0.18425525260486164,0.02694047073116912,0.031836203461323584,-0.025048492786584376,2.220446049250313e-16,53690.81798192968,0
1.0001,0.01,18,-0.07038210417187069,0.3224011940923381,0.30532507133656867,0.17377884797308285,0.006091439322806758,-0.0021850686056207828,0.00338035301459654,2.220446049250313e-16,13118.567881172363,0
1.0001,0.01,19,-2.0014611346622475,0.32532700411287585,0.3082497935157163,0.17116900333963658,0.03405178593966918,-0.009144857492916639,-0.0323398244553424,2.220446049250313e-16,12764.43301490975,0
1.0001,0.01,20,0.20317540568218775,0.3324111554567698,0.3153974068757654,0.176606912324547,0.02000614356642494,0.00595635080375329,-0.022598313129530093,2.220446049250313e-16,118594.23932574142,0
1.0001,0.01,21,0.07836447392940343,0.33332863487951137,0.31633806830008726,0.18099290381908406,0.01143143233356203,0.02076070620686626,0.0003065779870498159,2.220446049250313e-16,7530.799315754369,0
1.0001,0.01,22,0.008746478685710136,0.319009514193207,0.30190031638784726,0.17181822425654014,0.006028328976445285,-0.011492685913784998,0.0016603162773552965,2.220446049250313e-16,22023.85600142359,0
1.0001,0.01,23,-0.18218248841353007,0.3332546128430335,0.316263697517604,0.17924979457449658,0.013088720184368352,0.01531756330134448,0.011154577554375567,2.220446049250313e-16,3421.074305969991,0
1.0001,0.01,24,0.38659794253951113,0.3276926608107008,0.3106395868593032,0.17637368342370624,0.021330096150664057,0.007414545586075522,0.02260439854083381,2.220446049250313e-16,1532418.366524932,0
1.0001,0.01,25,0.4675507438134519,0.3299293166320506,0.3129033450195181,0.17842665552902637,0.011538499372881372,0.004600050403151169,0.012462745598727244,2.220446049250313e-16,26130.262482680828,0
1.0001,0.01,26,-0.0662248309355522,0.33076076034120155,0.31374069934162396,0.17537540242426292,0.005817812912472853,0.003415887523591589,-0.001497882415747122,2.220446049250313e-16,20866.865257127603,0
1.0001,0.01,27,0.009398244539291329,0.32553763109716366,0.3084695218599675,0.17269541947896788,0.0053657141661691,-0.003975424481218729,0.002786584789860857,2.220446049250313e-16,24653.631959813603,0
1.0001,0.01,28,-0.767912832581906,0.3219784525253248,0.30487818206337075,0.1698207815071997,0.013582520024413902,-0.01586522026151731,-0.015270323685543718,2.220446049250313e-16,15425.845250723076,0
1.0001,0.01,29,-0.3623181679299768,0.32300066534439026,0.30591680896369455,0.17227138406487832,0.005383257713513834,-0.00978397208620132,-0.004111821769261816,2.220446049250313e-16,19304.025281244492,0
1.0001,0.01,30,3.96192586863302,0.31834141796940985,0.3012090036284027,0.17093621711143553,0.006363266672745671,-0.010751661311567174,0.006670267969996128,2.220446049250313e-16,78353.81958037158,0
1.0001,0.01,31,0.06509938593547503,0.3380752974219749,0.3211248718041556,0.18460044558076638,0.010901703962830356,0.02892598053741998,-0.0010423002160144287,2.220446049250313e-16,32322.907719404582,0
1.0001,0.1,0,-1.4475732701556832,0.9031217777164797,0.7711941763211522,0.5760411946553494,0.005299378125050991,-0.00842148822754142,0.0035353030327415175,2.220446049250313e-16,30741.038997255593,0
1.0001,0.1,1,1.7664525997195528,0.9173651826404966,0.7865855574325146,0.5937558624938346,0.008039755353227984,0.008736694783449912,-0.008857032593374782,2.220446049250313e-16,1277113.1019602558,0
1.0001,0.1,2,-0.4937026676587691,0.9057906506120142,0.7742807224500795,0.5814203454000364,0.0028556624609663572,-0.002046090190616873,0.0018192231785985934,2.220446049250313e-16,343427.1265162405,0
1.0001,0.1,3,0.5933970055800234,0.9081450372267185,0.7766598199436987,0.5827551138353038,0.007484609581587143,-0.0017303458408400598,0.006133146568405354,2.220446049250313e-16,78404.96417781056,0
1.0001,0.1,4,-1.6989813751818765,0.9074181688675657,0.7759872503067322,0.5835640691892252,0.004851086794023962,-0.0005580075082970116,-0.0051034932306562395,2.220446049250313e-16,218993.5157767863,0
1.0001,0.1,5,15.23152139087545,0.9141948572526671,0.7832330744808157,0.5905110571403278,0.0054608492263739095,0.004847374069380716,-0.0059835850309172415,2.220446049250313e-16,246172.17720533093,0
1.0001,0.1,6,-0.08240110608526935,0.9092896357521444,0.7777882813853628,0.5821673781418899,0.001938496675671475,-0.001976335137752291,7.184151756358138e-06,2.220446049250313e-16,1331767.5468060034,0
1.0001,0.1,7,0.6465821064258815,0.9088690597861145,0.7776049569355011,0.5852729908181011,0.0016572058979903992,0.0013864300305686402,0.0005913612079888661,2.220446049250313e-16,432516.08044333523,0
1.0001,0.1,8,-5.356728684527006,0.9024808111035219,0.7704945752005251,0.576471375116449,0.003624160324491088,-0.007845564557437392,-4.293873550967845e-05,2.220446049250313e-16,64713.20114403675,0
1.0001,0.1,9,-18.10043270464635,0.914675845122106,0.7836784854594642,0.5897066269367086,0.003965011099004823,0.006289115988124155,9.303657172446593e-05,2.220446049250313e-16,46764.104760798815,0
1.0001,0.1,10,-0.40335590241293734,0.9045625468675024,0.7728224822920678,0.5804219939341992,0.006805610589581901,-0.005120030377843595,-0.00495136402801518,2.220446049250313e-16,52911.38955670066,0
1.0001,0.1,11,-0.05686218750718722,0.9050386618975272,0.7733593470842173,0.5781483254441617,0.0030529336627282966,-0.005417661219063322,0.0026406537873952625,2.220446049250313e-16,32781.711464555214,0
1.0001,0.1,12,-11.991207195590455,0.9075151803491875,0.7760113452315999,0.5812233609843696,0.008168859527731553,-0.0016934394135808368,-0.009085610331960139,2.220446049250313e-16,269410.7965213912,0
1.0001,0.1,13,-1.3162361749424651,0.9071299534013876,0.7755527003290607,0.5809160737745362,0.004909292339691618,-0.0022886846075016285,-0.006265000403043651,2.220446049250313e-16,41362.60804350745,0
1.0001,0.1,14,-1.956545466020287,0.9000560526517292,0.7680874142887595,0.5759451857906157,0.003580840035204036,-0.00784972439720205,-0.0017796476747765015,2.220446049250313e-16,55865.0707930833,0
1.0001,0.1,15,-0.14275570287378267,0.9093364026063582,0.7781079223686352,0.5879246145268577,0.0046298228075696835,0.0029804712717509344,0.0018043109866046098,2.220446049250313e-16,1476636.010586699,0
1.0001,0.1,16,-0.5181694941613836,0.9039546415831315,0.7725477484687965,0.5832109076750401,0.00856795548301914,-0.0004464310643348846,0.009658355600323196,2.220446049250313e-16,15060.73957988426,0
1.0001,0.1,17,1.812450323791245,0.9107403403984236,0.7796871734902767,0.5892169295985326,0.007698940373745522,0.006566829468204606,0.006017858233347986,2.220446049250313e-16,103388.55531952626,0
1.0001,0.1,18,-1.6771577334871166,0.9070834185998617,0.7755499736120218,0.5822806100032708,0.0018273151188674674,-0.000766323153299653,-0.0007089758885320243,2.220446049250313e-16,103743.51456623117,0
1.0001,0.1,19,0.33410936335839636,0.902043657011225,0.7704011366036239,0.5799309724441821,0.003237166721347551,-0.0032172214817288223,-0.0024388835359765086,2.220446049250313e-16,39503.210075377254,0
