key,beta,dtype,scale_name,scale,start,stop,n,k,ell,real,imag,theory,error
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,6,6,1.0,0.0,1.0,0.0
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,6,7,-0.7991887840105437,0.012796483194358282,-0.7826485861717268,0.02091239170182829
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,6,8,0.6437638292891978,-0.02404467613099974,0.6125388094366029,0.03941000272823662
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,7,0,-0.22926572027283013,-0.06314120338225722,-0.17987368637529594,0.0801647339987774
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,7,1,0.2822975151497354,0.05925065877229784,0.22982688470075188,0.07914422041226428
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,7,2,-0.3450301460193359,-0.052517686750417784,-0.29365271816938265,0.07346936445956341
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,7,3,0.42535628022655825,0.04481371393880162,0.3752037930660109,0.06725727414471691
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,7,4,-0.5202951446847534,-0.03444609347283832,-0.47940263318087006,0.05346710065670984
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,7,5,0.6437638292891977,0.02404467613099977,0.6125388094366029,0.039410002728236554
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,7,6,-0.7991887840105437,-0.012796483194358282,-0.7826485861717268,0.02091239170182829
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,7,7,1.0,0.0,1.0,0.0
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,7,8,-0.7991887840105437,0.01279648319435827,-0.7826485861717268,0.020912391701828282
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,8,0,0.18434718898027613,0.06735834869310581,0.14077788633112195,0.08022113980738259
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,8,1,-0.22926572027283013,-0.06314120338225719,-0.17987368637529594,0.08016473399877738
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,8,2,0.28229751514973533,0.0592506587722978,0.22982688470075188,0.07914422041226421
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,8,3,-0.34503014601933596,-0.052517686750417784,-0.29365271816938265,0.07346936445956345
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,8,4,0.42535628022655814,0.04481371393880163,0.3752037930660109,0.06725727414471684
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,8,5,-0.5202951446847535,-0.0344460934728383,-0.47940263318087006,0.05346710065670991
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,8,6,0.6437638292891978,0.02404467613099974,0.6125388094366029,0.03941000272823662
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,8,7,-0.7991887840105437,-0.01279648319435827,-0.7826485861717268,0.020912391701828282
b1.005_float64,1.005,float64,fixed,1.0,150000,200000,50000,8,8,1.0,0.0,1.0,0.0
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,0,0,1.0,0.0,1.0,0.0
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,0,1,0.3362039256417882,0.03859471472588182,0.33333333333333337,0.038701321747112966
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,0,2,0.11304830770523137,-0.03222371105502858,0.11111111111111113,0.032281887875436316
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,0,3,0.03888222248189705,0.013690960640444231,0.03703703703703705,0.013814742581174514
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,0,4,0.0068266898133669835,-0.02675067788863632,0.012345679012345685,0.027314062482172434
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,0,5,0.006713294194514906,0.022871471304191347,0.004115226337448562,0.02301856112376205
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,0,6,-0.001450222221685185,-0.009402156171924048,0.0013717421124828542,0.009816517884900223
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,0,7,0.0032418187476970384,0.018886388989984876,0.0004572473708276181,0.01909056119745835
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,0,8,0.002019682164174628,-0.011485995860558249,0.00015241579027587272,0.011636785837156848
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,1,0,0.3362039256417882,-0.03859471472588182,0.33333333333333337,0.038701321747112966
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,1,1,1.0,0.0,1.0,0.0
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,1,2,0.33620392564178814,0.03859471472588181,0.33333333333333337,0.03870132174711295
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,1,3,0.11304830770523144,-0.03222371105502857,0.11111111111111113,0.03228188787543631
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,1,4,0.03888222248189702,0.013690960640444248,0.03703703703703705,0.013814742581174528
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,1,5,0.00682668981336697,-0.026750677888636325,0.012345679012345685,0.02731406248217244
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,1,6,0.006713294194514923,0.022871471304191357,0.004115226337448562,0.02301856112376206
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,1,7,-0.0014502222216851745,-0.009402156171924057,0.0013717421124828542,0.009816517884900228
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,1,8,0.003241818747697043,0.018886388989984883,0.0004572473708276181,0.019090561197458358
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,2,0,0.11304830770523137,0.03222371105502858,0.11111111111111113,0.032281887875436316
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,2,1,0.33620392564178814,-0.03859471472588181,0.33333333333333337,0.03870132174711295
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,2,2,1.0,0.0,1.0,0.0
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,2,3,0.3362039256417882,0.038594714725881815,0.33333333333333337,0.03870132174711296
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,2,4,0.11304830770523137,-0.032223711055028574,0.11111111111111113,0.03228188787543631
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,2,5,0.038882222481897016,0.013690960640444238,0.03703703703703705,0.013814742581174518
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,2,6,0.006826689813366987,-0.02675067788863631,0.012345679012345685,0.027314062482172424
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,2,7,0.006713294194514904,0.02287147130419136,0.004115226337448562,0.023018561123762063
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,2,8,-0.0014502222216851868,-0.009402156171924064,0.0013717421124828542,0.009816517884900238
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,3,0,0.03888222248189705,-0.013690960640444231,0.03703703703703705,0.013814742581174514
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,3,1,0.11304830770523144,0.03222371105502857,0.11111111111111113,0.03228188787543631
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,3,2,0.3362039256417882,-0.038594714725881815,0.33333333333333337,0.03870132174711296
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,3,3,1.0,0.0,1.0,0.0
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,3,4,0.33620392564178814,0.038594714725881815,0.33333333333333337,0.03870132174711296
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,3,5,0.11304830770523144,-0.03222371105502859,0.11111111111111113,0.03228188787543632
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,3,6,0.03888222248189703,0.013690960640444233,0.03703703703703705,0.013814742581174514
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,3,7,0.00682668981336698,-0.026750677888636325,0.012345679012345685,0.02731406248217244
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,3,8,0.006713294194514912,0.022871471304191347,0.004115226337448562,0.02301856112376205
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,4,0,0.0068266898133669835,0.02675067788863632,0.012345679012345685,0.027314062482172434
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,4,1,0.03888222248189702,-0.013690960640444248,0.03703703703703705,0.013814742581174528
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,4,2,0.11304830770523137,0.032223711055028574,0.11111111111111113,0.03228188787543631
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,4,3,0.33620392564178814,-0.038594714725881815,0.33333333333333337,0.03870132174711296
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,4,4,1.0,0.0,1.0,0.0
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,4,5,0.336203925641788,0.03859471472588183,0.33333333333333337,0.038701321747112966
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,4,6,0.11304830770523143,-0.03222371105502857,0.11111111111111113,0.03228188787543631
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,4,7,0.03888222248189703,0.013690960640444248,0.03703703703703705,0.01381474258117453
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,4,8,0.006826689813366988,-0.026750677888636325,0.012345679012345685,0.027314062482172437
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,5,0,0.006713294194514906,-0.022871471304191347,0.004115226337448562,0.02301856112376205
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,5,1,0.00682668981336697,0.026750677888636325,0.012345679012345685,0.02731406248217244
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,5,2,0.038882222481897016,-0.013690960640444238,0.03703703703703705,0.013814742581174518
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,5,3,0.11304830770523144,0.03222371105502859,0.11111111111111113,0.03228188787543632
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,5,4,0.336203925641788,-0.03859471472588183,0.33333333333333337,0.038701321747112966
b1.005_float64,1.005,float64,half,0.06096305674441412,0,200000,200000,5,5,1.0,0.0,1.0,0.0
