key,beta,dtype,scale_name,scale,start,stop,n,order,lag,k,pairs,real,imag,theory,error
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4096,2,195904,0.16172989754152933,0.11063962663841576,0.19429702487233688,0.11533319021543222
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4096,3,195904,0.09583311609329058,0.11204919021528328,0.08564445023892321,0.11251146581479012
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4096,4,195904,0.07028982935870302,0.13277718715345682,0.0377513338742415,0.13670601711986352
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4096,5,195904,0.04944311455556549,0.10454738539795704,0.016640461878249684,0.10957266911149684
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4096,6,195904,0.052433113672705,0.10014561948002342,0.007334971856727395,0.1098316324939754
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4096,7,195904,0.03011351580258216,0.07927157685561727,0.0032331922354454524,0.08370504579922289
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,4096,8,195904,0.021750382994497965,0.09125261821221746,0.0014251632092844536,0.09348879553134673
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16384,1,183616,-0.039599974999154366,0.0417812856588816,0.0377513338742415,0.0879141673209532
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16384,2,183616,-0.02199395434204447,0.037653761018476166,0.0014251632092844536,0.044342539234007314
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16384,3,183616,-0.04925424965715103,0.05831545524895692,5.3801812138982924e-05,0.07636737693931388
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16384,4,183616,-0.04836160922729468,0.025959790351127776,2.0310901730979638e-06,0.05489036727725459
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16384,5,183616,-0.03193751569748126,0.03689180629939658,7.667636325331218e-08,0.048795647128304885
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16384,6,183616,-0.052880428706473796,0.01660396353187796,2.89463498943841e-09,0.055425911370833386
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16384,7,183616,0.007083891060147016,0.02152435157748169,1.0927633193035094e-10,0.022660079916780217
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,original,16384,8,183616,-0.01962660020941216,-0.007815435310027674,4.1253272912551154e-12,0.021125445913098666
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1,1,199999,0.005645833839527764,-0.0009431033681006292,0.005233398527338396,0.001029342921316066
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1,2,199999,0.002151010436016281,0.0006498184069831459,0.004880943505879124,0.002806207142743543
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1,3,199999,0.02242597759902044,0.0005328923221798394,0.02104452607957175,0.0014806696213623483
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1,4,199999,0.010660354842695983,-0.0020759248930541097,0.012073862165542506,0.0025114671236833785
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1,5,199999,0.005543969115209674,0.0012947704627180917,0.004696746558578279,0.0015473256320478438
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1,6,199999,0.003432205238229147,-0.0007817992982039469,0.0057629093466201,0.002458331097216697
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1,7,199999,0.0075757681603994586,-0.0003564790335855129,0.008400282467675223,0.0008982767637473963
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,1,8,199999,0.011006159907978414,0.0010397344382042074,0.009983048610026789,0.0014586995681030684
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,2,1,199998,0.008435165166223915,-5.6061177180942475e-05,0.005233398527338396,0.003202257401500882
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,2,2,199998,0.004200235971857179,-0.0029511353537095054,0.004880943505879124,0.003028623882688038
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,2,3,199998,0.0201648660195992,0.0010968311232630698,0.02104452607957175,0.0014060015412756257
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,2,4,199998,0.01621527470514887,-0.0009119762111107154,0.012073862165542506,0.004240636559862293
