key,beta,dtype,scale_name,scale,start,stop,n,k,real,imag,theory,error
b1.001_float64,1.001,float64,fixed,1.0,150000,200000,50000,8,0.4318611457722262,-0.05145222449026165,0.41626061635722544,0.05376530408195032
b1.001_float64,1.001,float64,half,0.027361505158922998,0,200000,200000,1,0.34022701726234733,0.020855927731829694,0.3333333333333333,0.0219657141852581
b1.001_float64,1.001,float64,half,0.027361505158922998,0,200000,200000,2,0.08961828937643379,0.06564013224750971,0.1111111111111111,0.06906930105038839
b1.001_float64,1.001,float64,half,0.027361505158922998,0,200000,200000,3,0.07312568606467396,0.0030005835972104775,0.03703703703703703,0.0362131756487029
b1.001_float64,1.001,float64,half,0.027361505158922998,0,200000,200000,4,-0.015985238586759026,0.0219111577666219,0.012345679012345677,0.03581535601779013
b1.001_float64,1.001,float64,half,0.027361505158922998,0,200000,200000,5,0.03367877284770314,0.00632011084538234,0.004115226337448558,0.03023155773958572
b1.001_float64,1.001,float64,half,0.027361505158922998,0,200000,200000,6,-0.028130503152137793,0.01401833575997402,0.0013717421124828527,0.032663377246286054
b1.001_float64,1.001,float64,half,0.027361505158922998,0,200000,200000,7,0.021622643657992446,-0.00035448217621924724,0.00045724737082761756,0.021168364547266942
b1.001_float64,1.001,float64,half,0.027361505158922998,0,200000,200000,8,-0.006948428934053042,-0.009324201782206115,0.0001524157902758725,0.011720184924920147
b1.001_float64,1.001,float64,half,0.027361505158922998,0,50000,50000,1,0.3532064963386876,-0.12856318262047808,0.3333333333333333,0.13009010159633122
b1.001_float64,1.001,float64,half,0.027361505158922998,0,50000,50000,2,0.025073883641546658,0.058939665938959704,0.1111111111111111,0.10428944688531885
b1.001_float64,1.001,float64,half,0.027361505158922998,0,50000,50000,3,0.09560635429015024,-0.03671396403953386,0.03703703703703703,0.06912510454959189
b1.001_float64,1.001,float64,half,0.027361505158922998,0,50000,50000,4,0.011378368063029174,0.03837813897483579,0.012345679012345677,0.03839032744903952
b1.001_float64,1.001,float64,half,0.027361505158922998,0,50000,50000,5,0.060676068693243136,0.014004564780114389,0.004115226337448558,0.05826883148543023
b1.001_float64,1.001,float64,half,0.027361505158922998,0,50000,50000,6,-0.026302411575903982,0.022816607825838345,0.0013717421124828527,0.03586720472864539
b1.001_float64,1.001,float64,half,0.027361505158922998,0,50000,50000,7,0.041145897602040765,0.027949320998193618,0.00045724737082761756,0.04936325355867529
b1.001_float64,1.001,float64,half,0.027361505158922998,0,50000,50000,8,0.01328610773071167,-0.014666131959634085,0.0001524157902758725,0.019687287539010258
b1.001_float64,1.001,float64,half,0.027361505158922998,50000,100000,50000,1,0.4721393792919036,0.07611958503225691,0.3333333333333333,0.15830764233016584
b1.001_float64,1.001,float64,half,0.027361505158922998,50000,100000,50000,2,0.15426422259061703,0.07927485318367337,0.1111111111111111,0.09025903488103358
b1.001_float64,1.001,float64,half,0.027361505158922998,50000,100000,50000,3,0.11573465230643462,0.04644352732966852,0.03703703703703703,0.09138006281411601
b1.001_float64,1.001,float64,half,0.027361505158922998,50000,100000,50000,4,-0.03589052263420007,0.002507696389971024,0.012345679012345677,0.04830134253279609
b1.001_float64,1.001,float64,half,0.027361505158922998,50000,100000,50000,5,0.023029267915492608,0.00783820847079071,0.004115226337448558,0.020473848706277827
b1.001_float64,1.001,float64,half,0.027361505158922998,50000,100000,50000,6,-0.04248460906780406,-0.013941414837687592,0.0013717421124828527,0.04601893725984064
b1.001_float64,1.001,float64,half,0.027361505158922998,50000,100000,50000,7,0.017247188268822367,-0.019440082687725943,0.00045724737082761756,0.02568694085063028
b1.001_float64,1.001,float64,half,0.027361505158922998,50000,100000,50000,8,0.006782972143474486,-0.02168329587517296,0.0001524157902758725,0.022674426069103387
b1.001_float64,1.001,float64,half,0.027361505158922998,100000,150000,50000,1,0.2558021821443668,0.09892014612206931,0.3333333333333333,0.1256832316321391
b1.001_float64,1.001,float64,half,0.027361505158922998,100000,150000,50000,2,0.03792410444466014,0.0068480231887838435,0.1111111111111111,0.07350668926287769
b1.001_float64,1.001,float64,half,0.027361505158922998,100000,150000,50000,3,0.03422807709601587,-0.0004554836033406501,0.03703703703703703,0.00284564953273831
b1.001_float64,1.001,float64,half,0.027361505158922998,100000,150000,50000,4,-0.03348345892879,0.0204057883685163,0.012345679012345677,0.050166782669096056
b1.001_float64,1.001,float64,half,0.027361505158922998,100000,150000,50000,5,0.034745967011430075,-0.026496235204001208,0.004115226337448558,0.04050052782646738
b1.001_float64,1.001,float64,half,0.027361505158922998,100000,150000,50000,6,-0.014371579401996218,0.015905857138838228,0.0013717421124828527,0.02237964395671635
b1.001_float64,1.001,float64,half,0.027361505158922998,100000,150000,50000,7,0.03420866501712166,-0.033913939066308504,0.00045724737082761756,0.047846770592463755
b1.001_float64,1.001,float64,half,0.027361505158922998,100000,150000,50000,8,-0.02486609176841617,0.0031233635669670762,0.0001524157902758725,0.025212717434576308
b1.001_float64,1.001,float64,half,0.027361505158922998,150000,200000,50000,1,0.27976001127439465,0.036947162393472,0.3333333333333333,0.06507836541709046
b1.001_float64,1.001,float64,half,0.027361505158922998,150000,200000,50000,2,0.14121094682890897,0.11749798667862306,0.1111111111111111,0.12129211426868731
b1.001_float64,1.001,float64,half,0.027361505158922998,150000,200000,50000,3,0.046933660566097136,0.002728254702047515,0.03703703703703703,0.01026579422135426
b1.001_float64,1.001,float64,half,0.027361505158922998,150000,200000,50000,4,-0.005945340847075944,0.026353007333164067,0.012345679012345677,0.03207869079310369
b1.001_float64,1.001,float64,half,0.027361505158922998,150000,200000,50000,5,0.01626378777064754,0.029933905334624897,0.004115226337448558,0.0323052044333184
b1.001_float64,1.001,float64,half,0.027361505158922998,150000,200000,50000,6,-0.029363412562847063,0.03129229291290665,0.0013717421124828527,0.04386179805552438
b1.001_float64,1.001,float64,half,0.027361505158922998,150000,200000,50000,7,-0.0061111762560147114,0.023986772050963803,0.00045724737082761756,0.02486984966513788
b1.001_float64,1.001,float64,half,0.027361505158922998,150000,200000,50000,8,-0.0229967038419813,-0.0040707428609853555,0.0001524157902758725,0.0235043120977581
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,200000,200000,1,0.002632735970377918,0.039121754679027794,0.0,0.039210240854345116
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,200000,200000,2,-0.004761282480957473,0.03448184123352063,0.0,0.03480901012262768
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,200000,200000,3,0.01825779681950051,-0.024016706074891186,0.0,0.030168681034971983
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,200000,200000,4,-0.024945471581324638,0.029293141209355493,0.0,0.038475507460278106
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,200000,200000,5,0.033839964954423395,-0.027695400254159626,0.0,0.043728462394128476
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,200000,200000,6,-0.026179958979485083,0.013225389791498107,0.0,0.02933089134862055
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,200000,200000,7,0.023678757400343416,-0.0059279651183376655,0.0,0.024409512950252534
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,200000,200000,8,-0.03934013988599529,0.010262288905533644,0.0,0.0406566252882641
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,50000,50000,1,-0.001498165046911184,-0.09891311728115353,0.0,0.0989244624386861
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,50000,50000,2,-0.030176915935846108,0.10644416784628302,0.0,0.11063908497401266
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,50000,50000,3,0.0968822978950562,-0.05728645248335951,0.0,0.11255184264841965
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,50000,50000,4,-0.05743293046962322,0.0792475059227598,0.0,0.097870877677205
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,50000,50000,5,0.056615589094075956,-0.06200213598080465,0.0,0.08396183534589656
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,50000,50000,6,-0.039090184174087134,0.02857459713542191,0.0,0.04842055452197666
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,50000,50000,7,0.008660820982077617,-0.027619142475823966,0.0,0.02894523883445185
b1.001_float64,1.001,float64,matched,0.054723010317845995,0,50000,50000,8,-0.04995024691414263,0.02962893998761382,0.0,0.05807668423363577
b1.001_float64,1.001,float64,matched,0.054723010317845995,50000,100000,50000,1,0.14242616784081083,0.09582256321160224,0.0,0.17166006205946777
b1.001_float64,1.001,float64,matched,0.054723010317845995,50000,100000,50000,2,-0.031606529567602216,0.023568779774633966,0.0,0.03942664189825083
b1.001_float64,1.001,float64,matched,0.054723010317845995,50000,100000,50000,3,0.006010501864933066,-0.024976516269073667,0.0,0.025689540626637634
b1.001_float64,1.001,float64,matched,0.054723010317845995,50000,100000,50000,4,-0.04067304130172929,-0.013267853470777042,0.0,0.04278238217367269
b1.001_float64,1.001,float64,matched,0.054723010317845995,50000,100000,50000,5,0.06393520584000789,-0.007583073636625768,0.0,0.06438333287103633
