beta,name,seed,center,lambda0,estimate,target
1.0001,one_step,23,0.007634227710020934,0.034492085846555984,,
1.0001,uncoupled,24,0.00931077918261393,0.032383823853153436,0.032383823853153436,0.03444136656343575
1.0001,q-1.0,24,0.00931077918261393,0.032383823853153436,-0.036498909273718065,-0.03444136656343575
1.0001,q-0.25,24,0.00931077918261393,0.032383823853153436,-0.01066788435114125,-0.008610341640858938
1.0001,q0.0,24,0.00931077918261393,0.032383823853153436,-0.0020575427102823077,0.0
1.0001,q0.25,24,0.00931077918261393,0.032383823853153436,0.006552798930576621,0.008610341640858938
1.0001,q0.75,24,0.00931077918261393,0.032383823853153436,0.0237734822122945,0.025831024922576815
1.0001,one_step,24,0.00931077918261393,0.032383823853153436,,
1.0001,uncoupled,25,-0.008586784174447101,0.03892951527662964,0.03892951527662964,0.03444136656343575
1.0001,q-1.0,25,-0.008586784174447101,0.03892951527662964,-0.02995321785024186,-0.03444136656343575
1.0001,q-0.25,25,-0.008586784174447101,0.03892951527662964,-0.004122192927665046,-0.008610341640858938
1.0001,q0.0,25,-0.008586784174447101,0.03892951527662964,0.004488148713193897,0.0
1.0001,q0.25,25,-0.008586784174447101,0.03892951527662964,0.013098490354052826,0.008610341640858938
1.0001,q0.75,25,-0.008586784174447101,0.03892951527662964,0.030319173635770705,0.025831024922576815
1.0001,one_step,25,-0.008586784174447101,0.03892951527662964,,
1.0001,uncoupled,26,0.001453227402012998,0.030239496297053685,0.030239496297053685,0.03444136656343575
1.0001,q-1.0,26,0.001453227402012998,0.030239496297053685,-0.038643236829817816,-0.03444136656343575
1.0001,q-0.25,26,0.001453227402012998,0.030239496297053685,-0.012812211907241002,-0.008610341640858938
1.0001,q0.0,26,0.001453227402012998,0.030239496297053685,-0.004201870266382059,0.0
1.0001,q0.25,26,0.001453227402012998,0.030239496297053685,0.00440847137447687,0.008610341640858938
1.0001,q0.75,26,0.001453227402012998,0.030239496297053685,0.02162915465619475,0.025831024922576815
1.0001,one_step,26,0.001453227402012998,0.030239496297053685,,
1.0001,uncoupled,27,0.0451419365130105,0.03546906775232313,0.03546906775232313,0.03444136656343575
1.0001,q-1.0,27,0.0451419365130105,0.03546906775232313,-0.033413665374548374,-0.03444136656343575
1.0001,q-0.25,27,0.0451419365130105,0.03546906775232313,-0.007582640451971559,-0.008610341640858938
1.0001,q0.0,27,0.0451419365130105,0.03546906775232313,0.0010277011888873838,0.0
1.0001,q0.25,27,0.0451419365130105,0.03546906775232313,0.009638042829746313,0.008610341640858938
1.0001,q0.75,27,0.0451419365130105,0.03546906775232313,0.02685872611146419,0.025831024922576815
1.0001,one_step,27,0.0451419365130105,0.03546906775232313,,
1.0001,uncoupled,28,0.011597170307017946,0.03995651416555273,0.03995651416555273,0.03444136656343575
1.0001,q-1.0,28,0.011597170307017946,0.03995651416555273,-0.02892621896131877,-0.03444136656343575
1.0001,q-0.25,28,0.011597170307017946,0.03995651416555273,-0.0030951940387419566,-0.008610341640858938
1.0001,q0.0,28,0.011597170307017946,0.03995651416555273,0.005515147602116986,0.0
1.0001,q0.25,28,0.011597170307017946,0.03995651416555273,0.014125489242975915,0.008610341640858938
1.0001,q0.75,28,0.011597170307017946,0.03995651416555273,0.031346172524693794,0.025831024922576815
1.0001,one_step,28,0.011597170307017946,0.03995651416555273,,
1.0001,uncoupled,29,-0.08286833222818925,0.04093793406229519,0.04093793406229519,0.03444136656343575
1.0001,q-1.0,29,-0.08286833222818925,0.04093793406229519,-0.02794479906457631,-0.03444136656343575
1.0001,q-0.25,29,-0.08286833222818925,0.04093793406229519,-0.0021137741419994943,-0.008610341640858938
1.0001,q0.0,29,-0.08286833222818925,0.04093793406229519,0.0064965674988594485,0.0
1.0001,q0.25,29,-0.08286833222818925,0.04093793406229519,0.015106909139718377,0.008610341640858938
1.0001,q0.75,29,-0.08286833222818925,0.04093793406229519,0.032327592421436256,0.025831024922576815
1.0001,one_step,29,-0.08286833222818925,0.04093793406229519,,
