beta,name,kappa,regime,seed,initial,x0,y0,initial_equal,tail_real,tail_chord,finite_sync,first_exact,first_escape,max_abs
2.0,q0.25,0.391446579560279,unstable,8,independent,1.0588660512279302,0.477622194923226,0,6297.682672727804,1.9999988488896872,0,-1,1,175002.16070699238
2.0,q0.75,0.19948844645283387,unstable,8,near,-2.112811514022659,-2.112811523597699,0,9678.079168480426,1.9999999971576647,0,-1,13,1496263.4302522424
2.0,q0.75,0.19948844645283387,unstable,8,independent,1.0588660512279302,0.477622194923226,0,48284.11872869666,1.9999998600191564,0,-1,1,2789608.9853302366
2.0,one_step,0.5,one_step,8,near,-2.112811514022659,-2.112811523597699,0,0.0,0.0,1,1,-1,56192.38406427251
2.0,one_step,0.5,one_step,8,independent,1.0588660512279302,0.477622194923226,0,0.0,0.0,1,1,-1,84540.20347150479
2.0,uncoupled,0.0,unstable,9,near,1.7226197942447345,1.7226197846696942,0,6019.478022322305,1.999999995699429,0,-1,8,119337.61656358643
2.0,uncoupled,0.0,unstable,9,independent,0.8621879609381268,0.0209733600509557,0,38574.75625257841,1.9999999952026506,0,-1,1,504251.518409488
2.0,q-1.0,0.49148667214114505,stable,9,near,1.7226197942447345,1.7226197846696942,0,0.0,0.0,1,8,-1,145122.63278330598
2.0,q-1.0,0.49148667214114505,stable,9,independent,0.8621879609381268,0.0209733600509557,0,0.0,0.0,1,19,1,138498.3881545098
2.0,q-0.25,0.46078738088413185,stable,9,near,1.7226197942447345,1.7226197846696942,0,0.0,0.0,1,36,-1,447169.0539675336
2.0,q-0.25,0.46078738088413185,stable,9,independent,0.8621879609381268,0.0209733600509557,0,0.0,0.0,1,43,1,135626.36149011002
2.0,q0.0,0.4347568859616015,neutral,9,near,1.7226197942447345,1.7226197846696942,0,0.0,0.0,1,715,37,863851.6864707076
2.0,q0.0,0.4347568859616015,neutral,9,independent,0.8621879609381268,0.0209733600509557,0,0.0,0.0,1,283,1,367102.55692801357
2.0,q0.25,0.391446579560279,unstable,9,near,1.7226197942447345,1.7226197846696942,0,11629.135848416003,1.999984060271243,0,-1,17,253137.34004826567
2.0,q0.25,0.391446579560279,unstable,9,independent,0.8621879609381268,0.0209733600509557,0,57869.355276354625,1.9999554007632794,0,-1,1,184780.33821816967
2.0,q0.75,0.19948844645283387,unstable,9,near,1.7226197942447345,1.7226197846696942,0,46206.092259580146,1.9999999665960877,0,-1,11,5210371.277018994
2.0,q0.75,0.19948844645283387,unstable,9,independent,0.8621879609381268,0.0209733600509557,0,9525.657381416515,1.9999999394436523,0,-1,1,8371655.676795476
2.0,one_step,0.5,one_step,9,near,1.7226197942447345,1.7226197846696942,0,0.0,0.0,1,1,-1,14477.781648296417
2.0,one_step,0.5,one_step,9,independent,0.8621879609381268,0.0209733600509557,0,0.0,0.0,1,1,-1,665892.6144257572
2.0,uncoupled,0.0,unstable,10,near,-2.036518360860425,-2.0365183704354655,0,10824.84730739897,1.9999999898063971,0,-1,11,59849.180445553786
2.0,uncoupled,0.0,unstable,10,independent,-0.9988194336475429,-0.19102449508460526,0,20490.473315072577,1.9999999666452466,0,-1,1,494411.27060719725
2.0,q-1.0,0.49148667214114505,stable,10,near,-2.036518360860425,-2.0365183704354655,0,0.0,0.0,1,8,-1,1792267.5099420543
2.0,q-1.0,0.49148667214114505,stable,10,independent,-0.9988194336475429,-0.19102449508460526,0,0.0,0.0,1,18,1,64762.31922276513
2.0,q-0.25,0.46078738088413185,stable,10,near,-2.036518360860425,-2.0365183704354655,0,0.0,0.0,1,31,-1,140638.23460048583
2.0,q-0.25,0.46078738088413185,stable,10,independent,-0.9988194336475429,-0.19102449508460526,0,0.0,0.0,1,86,1,175314.49188635004
2.0,q0.0,0.4347568859616015,neutral,10,near,-2.036518360860425,-2.0365183704354655,0,0.0,0.0,1,503,214,181993.9576852818
2.0,q0.0,0.4347568859616015,neutral,10,independent,-0.9988194336475429,-0.19102449508460526,0,0.0,0.0,1,438,1,218327.31755406075
2.0,q0.25,0.391446579560279,unstable,10,near,-2.036518360860425,-2.0365183704354655,0,2264.1944479287654,1.999988818093695,0,-1,26,184108.75935424346
2.0,q0.25,0.391446579560279,unstable,10,independent,-0.9988194336475429,-0.19102449508460526,0,4798.866390517345,1.9999993520343047,0,-1,1,52068.618364158705
2.0,q0.75,0.19948844645283387,unstable,10,near,-2.036518360860425,-2.0365183704354655,0,98973.72427233277,1.9999999939129598,0,-1,15,156439.73505798198
2.0,q0.75,0.19948844645283387,unstable,10,independent,-0.9988194336475429,-0.19102449508460526,0,7777.66659182022,1.9999999823871273,0,-1,1,62612.20252426057
2.0,one_step,0.5,one_step,10,near,-2.036518360860425,-2.0365183704354655,0,0.0,0.0,1,1,-1,71432.97935434249
2.0,one_step,0.5,one_step,10,independent,-0.9988194336475429,-0.19102449508460526,0,0.0,0.0,1,1,-1,341638.1476195027
2.0,uncoupled,0.0,unstable,11,near,2.767938122826157,2.7679381132511165,0,45367.90035752796,1.999999997410083,0,-1,8,202346.3329227777
2.0,uncoupled,0.0,unstable,11,independent,-0.9524034889052794,1.5983054560214538,0,21289.501670950445,1.9999999958472816,0,-1,1,184230.20422634896
2.0,q-1.0,0.49148667214114505,stable,11,near,2.767938122826157,2.7679381132511165,0,0.0,0.0,1,9,-1,73598.05315592459
2.0,q-1.0,0.49148667214114505,stable,11,independent,-0.9524034889052794,1.5983054560214538,0,0.0,0.0,1,20,1,452021.0309288843
2.0,q-0.25,0.46078738088413185,stable,11,near,2.767938122826157,2.7679381132511165,0,0.0,0.0,1,43,-1,134330.19776945683
2.0,q-0.25,0.46078738088413185,stable,11,independent,-0.9524034889052794,1.5983054560214538,0,0.0,0.0,1,65,1,755746.5132970233
