beta,name,initial,t,error
1.01,one_step,independent,1,0.0
1.01,one_step,independent,2,0.0
1.01,one_step,independent,4,0.0
1.01,one_step,independent,8,0.0
1.01,one_step,independent,16,0.0
1.01,one_step,independent,32,0.0
1.01,one_step,independent,64,0.0
1.01,one_step,independent,128,0.0
1.01,one_step,independent,256,0.0
1.01,one_step,independent,512,0.0
1.01,one_step,independent,1024,0.0
1.01,one_step,independent,2048,0.0
1.01,one_step,independent,4096,0.0
1.01,one_step,independent,8192,0.0
1.01,one_step,independent,16384,0.0
1.01,one_step,independent,32768,0.0
1.01,one_step,independent,65536,0.0
1.01,one_step,independent,131072,0.0
1.01,one_step,independent,200000,0.0
1.1,uncoupled,near,1,1.1495120086887573e-08
1.1,uncoupled,near,2,1.3359098232672488e-08
1.1,uncoupled,near,4,1.8914159142452023e-08
1.1,uncoupled,near,8,5.8347587583152536e-08
1.1,uncoupled,near,16,0.0006888060653705684
1.1,uncoupled,near,32,6.902966650367384
1.1,uncoupled,near,64,0.43643780299556584
1.1,uncoupled,near,128,0.7904402886361768
1.1,uncoupled,near,256,2.6377234729509467
1.1,uncoupled,near,512,0.7499184224027712
1.1,uncoupled,near,1024,0.45078429934034286
1.1,uncoupled,near,2048,1.5870624173565444
1.1,uncoupled,near,4096,0.016413172604236775
1.1,uncoupled,near,8192,0.2746889032075686
1.1,uncoupled,near,16384,1.2784713138696862
1.1,uncoupled,near,32768,0.3792027943479192
1.1,uncoupled,near,65536,3.267918214175365
1.1,uncoupled,near,131072,0.7556979957867658
1.1,uncoupled,near,200000,3.562636646321972
1.1,uncoupled,independent,1,0.7631258210458913
1.1,uncoupled,independent,2,0.9744742275334187
1.1,uncoupled,independent,4,2.2654067110816083
1.1,uncoupled,independent,8,2.4349152523265247
1.1,uncoupled,independent,16,4.9729506072302
1.1,uncoupled,independent,32,340.1785782175903
1.1,uncoupled,independent,64,1.1106861478314083
1.1,uncoupled,independent,128,1.2532995787517045
1.1,uncoupled,independent,256,0.4299645957886196
1.1,uncoupled,independent,512,1.0342626274134608
1.1,uncoupled,independent,1024,0.6827523380153515
1.1,uncoupled,independent,2048,2.494719259858598
1.1,uncoupled,independent,4096,0.3554735388295174
1.1,uncoupled,independent,8192,17.519029286830804
1.1,uncoupled,independent,16384,1.123532392289734
1.1,uncoupled,independent,32768,2.5701587997803688
1.1,uncoupled,independent,65536,1.239888229488043
1.1,uncoupled,independent,131072,0.12531836267176258
1.1,uncoupled,independent,200000,1.47461312000563
1.1,q-1.0,near,1,1.86191952039502e-09
1.1,q-1.0,near,2,3.5048705695136777e-10
1.1,q-1.0,near,4,1.3018958219969635e-11
1.1,q-1.0,near,8,2.7593295309971756e-14
