beta,gamma0,x,empirical,theoretical
0.5,0.1,0.11116738690712011,0.86427,0.865560867118726
0.5,0.1,0.11603305215153197,0.86926,0.870586454612404
0.5,0.1,0.12096301739847791,0.87425,0.8753284011608528
0.5,0.1,0.12648303261079405,0.87924,0.8802607195302525
0.5,0.1,0.1323249650924386,0.88423,0.8850906549779254
0.5,0.1,0.13905165890669216,0.88922,0.8902093907420818
0.5,0.1,0.14591581455209388,0.89421,0.8949995600401179
0.5,0.1,0.15354101091683942,0.8992,0.8998689882126785
0.5,0.1,0.1618733410023109,0.90419,0.9047133154075968
0.5,0.1,0.17158813722253383,0.90918,0.9098162809605652
0.5,0.1,0.18236100191793383,0.91417,0.9148862527171759
0.5,0.1,0.194469070796521,0.91916,0.9199582271872241
0.5,0.1,0.20749409725600118,0.92415,0.9247919640172546
0.5,0.1,0.22231893787062385,0.92914,0.9296398116140367
0.5,0.1,0.2388927182683989,0.93413,0.9343792249290983
0.5,0.1,0.25863074494742505,0.93912,0.939261773248476
0.5,0.1,0.2826621394440406,0.94411,0.944316219651293
0.5,0.1,0.3104064203890074,0.9491,0.9492051967411171
0.5,0.1,0.3444483102446461,0.95409,0.9541524144911394
0.5,0.1,0.3876385875837225,0.95908,0.959201513198304
0.5,0.1,0.44284615635133934,0.96407,0.9642419954583115
0.5,0.1,0.5207840701661122,0.96906,0.9695579540302743
0.5,0.1,0.6144391631785204,0.97405,0.9741758967080061
0.5,0.1,0.7619913656584808,0.97904,0.9791605014123987
0.5,0.1,1.0155580140339817,0.98403,0.9843539852446803
0.5,0.1,1.4483354175859453,0.98902,0.9890246816731154
0.5,0.1,2.6884884896710455,0.99401,0.9940857419612632
0.5,0.1,15.427170440997903,0.999,0.9989692089602618
0.5,1.0,-115.04817063769347,0.001,0.0012785572150662006
0.5,1.0,-24.77595094341727,0.00599,0.005936377811245119
0.5,1.0,-12.983097149183418,0.01098,0.011325062551333365
0.5,1.0,-9.078653800688114,0.01597,0.016188481197045856
0.5,1.0,-6.866615422678377,0.02096,0.021389720731060158
0.5,1.0,-5.551827130979861,0.02595,0.026434207630545326
0.5,1.0,-4.617590318545026,0.03094,0.031749959903884295
0.5,1.0,-3.986853304952805,0.03593,0.036731465222715476
0.5,1.0,-3.513290826799266,0.04092,0.04162958635012426
0.5,1.0,-3.136625106058293,0.04591,0.0465614520246147
0.5,1.0,-2.821334557301001,0.0509,0.05167830304497523
0.5,1.0,-2.5658489234320476,0.05589,0.05672050756312852
0.5,1.0,-2.3664456018579254,0.06088,0.06138671530745088
0.5,1.0,-2.178364849451262,0.06587,0.06653962950815101
0.5,1.0,-2.022370251452325,0.07086,0.07150700948119859
0.5,1.0,-1.88035629915858,0.07585,0.0767077515557853
0.5,1.0,-1.7615834509417623,0.08084,0.08166233706909026
0.5,1.0,-1.6576433035528813,0.08583,0.08654103493499976
0.5,1.0,-1.5651643039407175,0.09082,0.0913850901352094
0.5,1.0,-1.4772337219396774,0.09581,0.0965057841459036
0.5,1.0,-1.4020127490176868,0.1008,0.10134848288178872
0.5,1.0,-1.3341982654883764,0.10579,0.10613445561532131
0.5,1.0,-1.2684470703255604,0.11078,0.11120863953117266
0.5,1.0,-1.2093276333533258,0.11577,0.11618457668949839
0.5,1.0,-1.1548804001500848,0.12076,0.12115814377857798
0.5,1.0,-1.1022253512885059,0.12575,0.12636818610968825
0.5,1.0,-1.0536632247768491,0.13074,0.1315631417748394
0.5,1.0,-1.008771880419968,0.13573,0.1367358744652774
0.5,1.0,-0.9694586921848053,0.14072,0.14158884153788293
0.5,1.0,-0.9320331091382323,0.14571,0.14651645151357723
0.5,1.0,-0.8962000261294281,0.1507,0.15154150771367542
0.5,1.0,-0.862043965660054,0.15569,0.15663604638721268
0.5,1.0,-0.8320002038292882,0.16068,0.16138371652520106
0.5,1.0,-0.8045776897859378,0.16567,0.16595184296306348
0.5,1.0,-0.7753186905165264,0.17066,0.17109125703707267
0.5,1.0,-0.7490346523646615,0.17565,0.17595846403158583
0.5,1.0,-0.7236415448507125,0.18064,0.18090156989624184
0.5,1.0,-0.7008590561229217,0.18563,0.18555104703159442
0.5,1.0,-0.67792337575611,0.19062,0.19044952837669316
0.5,1.0,-0.6550563282090984,0.19561,0.19556391021642
0.5,1.0,-0.6335703531223906,0.2006,0.20059153670363988
0.5,1.0,-0.6134389750539672,0.20559,0.2055084656066331
0.5,1.0,-0.5950764799790081,0.21058,0.21017643308910017
