stage,beta,gamma0,condition,seed,dtype,nonfinite,first_failure_step,first_failure_index,zero_count,max_abs,min_pole
A,1.01,1.0,10,3,float32,0,,,0,1098945.875,9.099629263431552e-07
A,1.01,1.0,10,4,float64,0,,,0,107549.90692702061,4.4577326649530846e-05
A,1.01,1.0,10,4,float32,0,,,0,107549.90625,4.481076799045525e-05
A,1.01,1.0,10,5,float64,0,,,0,394164.2084920274,2.5370137075597654e-06
A,1.01,1.0,10,5,float32,0,,,0,387763.28125,2.5788929800540927e-06
A,1.01,1.0,10,6,float64,0,,,0,592601.2568765039,2.3891657351837736e-05
A,1.01,1.0,10,6,float32,0,,,0,592601.25,2.3885569300219345e-05
A,1.01,1.0,10,7,float64,0,,,0,50740.83851838381,1.970799121719935e-05
A,1.01,1.0,10,7,float32,0,,,0,50727.31640625,1.9713244165942e-05
A,1.01,1.0,10,8,float64,0,,,0,140116.08992888682,9.338922170698538e-06
A,1.01,1.0,10,8,float32,0,,,0,140116.09375,9.524818283423997e-06
A,1.01,1.0,10,9,float64,0,,,0,73468.21806956377,3.731218921454449e-05
A,1.01,1.0,10,9,float32,0,,,0,73468.21875,3.738800552888222e-05
A,1.01,10.0,11,0,float64,0,,,0,520672.1473280491,4.686624578464915e-05
A,1.01,10.0,11,0,float32,0,,,0,520672.15625,4.719495378147087e-05
A,1.01,10.0,11,1,float64,0,,,0,712548.0427425337,2.0964271543633117e-05
A,1.01,10.0,11,1,float32,0,,,0,712548.0625,2.0992759841576003e-05
A,1.01,10.0,11,2,float64,0,,,0,2006401.5815025643,3.05660014046083e-05
A,1.01,10.0,11,2,float32,0,,,0,2006401.625,3.1562781904526105e-05
A,1.01,10.0,11,3,float64,0,,,0,776266.1381257153,6.755691924542617e-06
A,1.01,10.0,11,3,float32,0,,,0,776266.125,6.719431604906845e-06
A,1.01,10.0,11,4,float64,0,,,0,931328.9465004194,2.058978841823489e-05
A,1.01,10.0,11,4,float32,0,,,0,931328.9375,2.0293377600566487e-05
A,1.01,10.0,11,5,float64,0,,,0,1319906.891654008,7.576291984889849e-07
A,1.01,10.0,11,5,float32,0,,,0,1227591.25,8.146033980693801e-07
A,1.01,10.0,11,6,float64,0,,,0,932085.5192883407,2.5995849665783055e-05
A,1.01,10.0,11,6,float32,0,,,0,932085.5,2.5912127222582626e-05
A,1.01,10.0,11,7,float64,0,,,0,399467.44706904993,2.985163447433159e-05
A,1.01,10.0,11,7,float32,0,,,0,399467.4375,2.9877820287183e-05
A,1.01,10.0,11,8,float64,0,,,0,3389475.692312656,4.066747044362273e-05
A,1.01,10.0,11,8,float32,0,,,0,3389475.75,4.054308332790413e-05
A,1.01,10.0,11,9,float64,0,,,0,1642067.8317424408,5.349440040203213e-05
A,1.01,10.0,11,9,float32,0,,,0,1642067.875,5.3568682398363876e-05
A,1.1,0.1,12,0,float64,0,,,0,18254.555553842478,5.478084613175227e-05
A,1.1,0.1,12,0,float32,0,,,0,18250.65234375,5.479256180329628e-05
A,1.1,0.1,12,1,float64,0,,,0,199441.85505772714,5.0139926732750695e-06
A,1.1,0.1,12,1,float32,0,,,0,202786.609375,4.931292261645126e-06
A,1.1,0.1,12,2,float64,0,,,0,16818.26641987358,5.94591602878225e-05
A,1.1,0.1,12,2,float32,0,,,0,16798.494140625,5.952914687590294e-05
A,1.1,0.1,12,3,float64,0,,,0,48018.44267492747,6.388606235874228e-05
A,1.1,0.1,12,3,float32,0,,,0,48018.44140625,6.385246780915566e-05
A,1.1,0.1,12,4,float64,0,,,0,68058.56686380491,1.4693227406992193e-05
A,1.1,0.1,12,4,float32,0,,,0,67850.703125,1.473824051423378e-05
A,1.1,0.1,12,5,float64,0,,,0,15237.911216241562,6.562579243141187e-05
A,1.1,0.1,12,5,float32,0,,,0,15214.208984375,6.572802993254356e-05
A,1.1,0.1,12,6,float64,0,,,0,32663.874211719947,0.000767588721173329
A,1.1,0.1,12,6,float32,0,,,0,32663.875,0.0007676323268075436
A,1.1,0.1,12,7,float64,0,,,0,19544.61887756134,9.761354603821104e-05
A,1.1,0.1,12,7,float32,0,,,0,19544.619140625,9.776354231227913e-05
A,1.1,0.1,12,8,float64,0,,,0,4021085.2009868566,2.486890851027823e-07
A,1.1,0.1,12,8,float32,0,,,0,3185560.75,3.13916478589249e-07
