stage,beta,gamma0,condition,seed,dtype,start,stop,status,n,median,estimated_scale,ks,tail10,tail100,theoretical_scale,lyapunov,theoretical_lyapunov,log_sensitivity
C,1.0001,0.017318949386946766,0,6,float32,50000,100000,記述的評価,50000,-0.004878639476373792,0.010754438932053745,0.1639053685177574,0.0189,0.00198,0.017318949386946766,0.011617930069582082,0.03444136656343561,580.8965034791041
C,1.0001,0.017318949386946766,0,6,float32,100000,150000,記述的評価,50000,0.006686426233500242,0.03190947696566582,0.1665370548747246,0.10746,0.0111,0.017318949386946766,0.05884637171624413,0.03444136656343561,2942.3185858122065
C,1.0001,0.017318949386946766,0,6,float32,150000,200000,記述的評価,50000,0.0038071954622864723,0.005650240171235055,0.45294315942295704,0.0349,0.00336,0.017318949386946766,0.01904524872327849,0.03444136656343561,952.2624361639246
C,1.0001,0.017318949386946766,0,7,float64,0,200000,記述的評価,200000,0.0051366919913155545,0.022526119427245916,0.09973864181655573,0.06998,0.006665,0.017318949386946766,0.03677078076751615,0.03444136656343561,7354.15615350323
C,1.0001,0.017318949386946766,0,7,float64,0,50000,記述的評価,50000,0.009123172365857954,0.006840615373536368,0.3932077866378544,0.0489,0.00422,0.017318949386946766,0.024238926651484805,0.03444136656343561,1211.9463325742402
C,1.0001,0.017318949386946766,0,7,float64,50000,100000,記述的評価,50000,0.0059505927869653325,0.019975100409622838,0.16815730721287903,0.07748,0.00708,0.017318949386946766,0.038367112790253684,0.03444136656343561,1918.3556395126843
C,1.0001,0.017318949386946766,0,7,float64,100000,150000,記述的評価,50000,0.011719887813328249,0.03381048476567467,0.2168160610306631,0.09712,0.01046,0.017318949386946766,0.05475526858965065,0.03444136656343561,2737.7634294825325
C,1.0001,0.017318949386946766,0,7,float64,150000,200000,記述的評価,50000,-0.019560154744768028,0.011886847621722096,0.48174181331462923,0.05642,0.0049,0.017318949386946766,0.029721815038675433,0.03444136656343561,1486.0907519337716
C,1.0001,0.017318949386946766,0,7,float32,0,200000,記述的評価,200000,-0.001683686627075076,0.014190441812388599,0.12757652804148079,0.063115,0.00636,0.017318949386946766,0.035229308398687875,0.03444136656343561,7045.861679737574
C,1.0001,0.017318949386946766,0,7,float32,0,50000,記述的評価,50000,-0.0120770875364542,0.020064721815288067,0.26820218158022013,0.05486,0.00594,0.017318949386946766,0.03227994916243536,0.03444136656343561,1613.997458121768
C,1.0001,0.017318949386946766,0,7,float32,50000,100000,記述的評価,50000,-0.0030301869846880436,0.006093639116443228,0.3312467153492945,0.0702,0.0073,0.017318949386946766,0.04143108306112709,0.03444136656343561,2071.5541530563546
C,1.0001,0.017318949386946766,0,7,float32,100000,150000,記述的評価,50000,0.002207297249697149,0.003944934280298185,0.2692867153492945,0.0637,0.0061,0.017318949386946766,0.03360056205236575,0.03444136656343561,1680.0281026182874
C,1.0001,0.017318949386946766,0,7,float32,150000,200000,記述的評価,50000,-0.001598745642695576,0.009408159006852657,0.20554671534929447,0.0637,0.0061,0.017318949386946766,0.03360563931882328,0.03444136656343561,1680.2819659411641
C,1.0001,0.017318949386946766,0,8,float64,0,200000,記述的評価,200000,-0.0045264719139799505,0.0062559781358031,0.3668582241069427,0.031425,0.00322,0.017318949386946766,0.016638317178294493,0.03444136656343561,3327.6634356588984
C,1.0001,0.017318949386946766,0,8,float64,0,50000,記述的評価,50000,-0.0018968350980249336,0.008261742488561185,0.2934518416033288,0.05184,0.00486,0.017318949386946766,0.024492689130219427,0.03444136656343561,1224.6344565109714
C,1.0001,0.017318949386946766,0,8,float64,50000,100000,記述的評価,50000,-0.005924121836878224,0.004018134970547588,0.5243076685302178,0.0048,0.0006,0.017318949386946766,0.0028773665819672406,0.03444136656343561,143.86832909836204
C,1.0001,0.017318949386946766,0,8,float64,100000,150000,記述的評価,50000,-0.008789166334977807,0.00976840074499356,0.37256712278793136,0.04654,0.00496,0.017318949386946766,0.026332578851023768,0.03444136656343561,1316.6289425511884
