stage,group,beta,gamma0,condition,seed,dtype,kind,x,argument,y,step,sample_index,pole_distance_fp,pole_distance_mp,reference,argument_error,multiplication_effect,tan_evaluation_error,total_error,scaled_error
B,wide,0.5,0.1,0,0,float64,pole,3.247134908044123,1.6235674540220615,-18.932162645730287,0,3924,0.05277112722716493,0.05277112722716486553277283832474400815967030519525958951252770384609179685689550068598258732894146601,-18.93216264573028805965351646398770573931010947031755162325869353412661792514944193599672382532550065,0.0,0.0,0.000000000000001105704554427467463048270070407817551623258693534126617925149441935996723825325500647104664256270343,0.000000000000001105704554427467463048270070407817551623258693534126617925149441935996723825325500647104664256270343,5.840349964861693e-17
B,wide,0.5,0.1,0,0,float64,pole,-3.034592911487417,-1.5172964557437085,-18.67379714255895,1,2124,0.05349987105118803,0.05349987105118809166758162887956226649281077390630291048747229615390820314310449931401741267105853399,-18.67379714255894862529673329734761331596890311903998351703190846556589492269835445037257360439725945,0.0,0.0,0.00000000000000133215037865849625255546054024033501648296809153443410507730164554962742639560274055263294281961475,0.00000000000000133215037865849625255546054024033501648296809153443410507730164554962742639560274055263294281961475,7.133794848946003e-17
B,wide,0.5,0.1,0,0,float64,pole,3.0315601296939216,1.5157800648469608,18.15810146472599,1,3779,0.05501626194793574,0.05501626194793580188279045529154340209957652097661541048747229615390820314310449931401741267105853399,18.15810146472599032730528286214138450350347811340654701714468508810598753430767259623940177249611808,0.0,0.0,0.0000000000000009646655029615092736271422738397184529828553149118940124656923274037605982275038819174827599725335121,0.0000000000000009646655029615092736271422738397184529828553149118940124656923274037605982275038819174827599725335121,5.312590112107661e-17
B,wide,0.5,0.1,0,0,float64,pole,-3.2722636097363287,-1.6361318048681643,15.28383530844053,0,3083,0.06533547807326778,0.06533547807326772188442211785630112109187550539057208951252770384609179685689550068598258732894146601,15.28383530844052991660581718005099719307370829090331618425655273111880374310337201001756516852083342,0.0,0.0,0.00000000000000007339557449139514392158933329090331618425655273111880374310337201001756516852083342271139719044036569,0.00000000000000007339557449139514392158933329090331618425655273111880374310337201001756516852083342271139719044036569,4.8021699403462095e-18
B,wide,0.5,0.1,0,0,float64,pole,-2.9821652689333,-1.49108263446665,-12.518313756824515,1,1052,0.07971369232824665,0.07971369232824671597147223934254819931980662351567791048747229615390820314310449931401741267105853399,-12.51831375682451497363258519349102252247441408581615888031327672768705792736553633738324809527327281,0.0,0.0,0.0000000000000001080566567308321190523852050548088411196867232723129420726344636626167519047267271895964989604042223,0.0000000000000001080566567308321190523852050548088411196867232723129420726344636626167519047267271895964989604042223,8.63188595763736e-18
B,wide,0.5,0.1,0,0,float64,pole,3.306566272083935,1.6532831360419675,-12.095642383144304,1,1143,0.08248680924707097,0.08248680924707090783211262618467932162288136476557208951252770384609179685689550068598258732894146601,-12.09564238314430378599563456765234134388644207508160895765291422977556112404356695322935818307752682,0.0,0.0,0.0000000000000001639066792598073150892325114110191089576529142297755611240435669532293581830775268172378271527082699,0.0000000000000001639066792598073150892325114110191089576529142297755611240435669532293581830775268172378271527082699,1.3550886680331832e-17
B,wide,0.5,0.1,0,0,float64,pole,3.306920844015178,1.653460422007589,-12.069583231806952,1,13,0.08266409521269247,0.08266409521269240650777212153232445535663075441400958951252770384609179685689550068598258732894146601,-12.06958323180695199140414387686754847549581742320858972838493555430356110937460150100689589671889489,0.0,0.0,0.00000000000000003696017757290397500015115523304141027161506444569643889062539849899310410328110511286008488865312888,0.00000000000000003696017757290397500015115523304141027161506444569643889062539849899310410328110511286008488865312888,3.0622579804995155e-18
B,wide,0.5,0.1,0,0,float64,pole,9.59655361126344,4.79827680563172,-11.61445037013766,1,2014,0.08588782524703031,0.08588782524703013014958802416352853827486357671859126853758311153827539057068650205794776198682439802,-11.61445037013766129314408047822873952727831114755972446463045473399037201142670644594501034899792291,0.0,0.0,0.0000000000000006090218421700374400888017486475597244646304547339903720114267064459450103489979229117447402157431569,0.0000000000000006090218421700374400888017486475597244646304547339903720114267064459450103489979229117447402157431569,5.2436561590199376e-17
B,wide,0.5,0.1,0,0,float64,pole,3.315124686529471,1.6575623432647355,-11.49631310748613,1,2816,0.08676601646983895,0.08676601646983888565724120866550853071216053957025958951252770384609179685689550068598258732894146601,-11.49631310748612921363126414893475587349319081135849447275022090719057310479666978326120265447136409,0.0,0.0,0.0000000000000001010868600972024839637794456941709944727502209071905731047966697832612026544713640927748198857914207,0.0000000000000001010868600972024839637794456941709944727502209071905731047966697832612026544713640927748198857914207,8.792980771494219e-18
B,wide,0.5,0.1,0,0,float64,pole,-2.962785502993736,-1.481392751496868,-11.155417921124057,0,1935,0.08940357529802845,0.08940357529802850939181078416251788320538096433599041048747229615390820314310449931401741267105853399,-11.15541792112405770923705482566576427711169117696599779555727454192601169100391576312349538358275682,0.0,0.0,0.0000000000000007634229367453589660574309050441534977955572745419260116910039157631234953835827568224738168363630675,0.0000000000000007634229367453589660574309050441534977955572745419260116910039157631234953835827568224738168363630675,6.843517133497351e-17
B,wide,0.5,0.1,0,0,float64,pole,-2.9532939900923516,-1.4766469950461758,-10.590022627532269,0,4084,0.09414933174872075,0.09414933174872081606342342552918220343586497312505291048747229615390820314310449931401741267105853399,-10.59002262753226843483395198192959358423652558448292442112439752643035962930550468619019804185812113,0.0,0.0,0.000000000000000649038099869428671100440598438954575578875602473569640370694495313809801958141878865041125329460575,0.000000000000000649038099869428671100440598438954575578875602473569640370694495313809801958141878865041125329460575,6.128769717470097e-17
B,wide,0.5,0.1,0,0,float64,pole,2.9530922737595144,1.4765461368797572,10.578622845253895,0,17,0.09425018991513934,0.09425018991513939864777947064678395571705393796880291048747229615390820314310449931401741267105853399,10.57862284525389498494873254097952703901450504045602079893627404208555646178081106087630875011734255,0.0,0.0,0.0000000000000003606420650030854270882240997670185207989362740420855564617808110608763087501173425526059442523824648,0.0000000000000003606420650030854270882240997670185207989362740420855564617808110608763087501173425526059442523824648,3.40915892624802e-17
