stage,beta,gamma0,condition,seed,dtype,theoretical_scale,gate,status,n,median,estimated_scale,ks,tail10,tail100,decision
A,1.0,1.0,7,2,float32,0.7615941559557649,0.007295692186922878,記述的評価,100000,0.0025867028161883354,0.7601917460560799,0.0026768967819214007,0.0627,0.00646,精度診断
A,1.0,1.0,7,3,float64,0.7615941559557649,0.007295692186922878,記述的評価,100000,0.0018292873083124558,0.7582175745260289,0.0026360337781651255,0.06387,0.00628,整合
A,1.0,1.0,7,3,float32,0.7615941559557649,0.007295692186922878,記述的評価,100000,0.0018292872700840235,0.7582176402211189,0.002636031913757275,0.06387,0.00628,精度診断
A,1.0,1.0,7,4,float64,0.7615941559557649,0.007295692186922878,記述的評価,100000,0.01132842410053571,0.7719871552875359,0.0073901139238876645,0.06374,0.00635,不一致
A,1.0,1.0,7,4,float32,0.7615941559557649,0.007295692186922878,記述的評価,100000,0.011328424327075481,0.7719871252775192,0.007390160388946576,0.06374,0.00635,精度診断
A,1.0,1.0,7,5,float64,0.7615941559557649,0.007295692186922878,記述的評価,100000,-0.004362913925430106,0.7610151196852628,0.0030807260230065747,0.06467,0.00615,整合
A,1.0,1.0,7,5,float32,0.7615941559557649,0.007295692186922878,記述的評価,100000,-0.004362913779914379,0.7610151842236519,0.0030807497406005746,0.06467,0.00615,精度診断
A,1.0,1.0,7,6,float64,0.7615941559557649,0.007295692186922878,記述的評価,100000,-0.00328969318508705,0.7639132977300971,0.0020600157756767157,0.06377,0.00657,整合
A,1.0,1.0,7,6,float32,0.7615941559557649,0.007295692186922878,記述的評価,100000,-0.003289648797363043,0.7639132738113403,0.0020599861717224277,0.06377,0.00657,精度診断
A,1.0,1.0,7,7,float64,0.7615941559557649,0.007295692186922878,記述的評価,100000,0.005605717287173556,0.7622674972595953,0.0036105833051254255,0.06289,0.00613,整合
A,1.0,1.0,7,7,float32,0.7615941559557649,0.007295692186922878,記述的評価,100000,0.005605724640190601,0.7622675374150276,0.003610570926666279,0.06289,0.00613,精度診断
A,1.0,1.0,7,8,float64,0.7615941559557649,0.007295692186922878,記述的評価,100000,-0.004064594451192698,0.7633213386443951,0.002665072945514657,0.06273,0.00622,整合
A,1.0,1.0,7,8,float32,0.7615941559557649,0.007295692186922878,記述的評価,100000,-0.004064640961587429,0.7633212730288506,0.002665101127624525,0.06273,0.00622,精度診断
A,1.0,1.0,7,9,float64,0.7615941559557649,0.007295692186922878,記述的評価,100000,0.0016639667593593421,0.764740568778864,0.0022527185924237636,0.06406,0.00646,整合
A,1.0,1.0,7,9,float32,0.7615941559557649,0.007295692186922878,記述的評価,100000,0.001663966802880168,0.7647406086325645,0.0022527103900909506,0.06406,0.00646,精度診断
A,1.0,10.0,8,0,float64,0.9999999958776927,0.007295692186922878,記述的評価,100000,-0.001216272587068792,1.000925866210087,0.0021098307086524493,0.06392,0.00677,整合
A,1.0,10.0,8,0,float32,0.9999999958776927,0.007295692186922878,記述的評価,100000,-0.0012170042609795928,1.0009255558252335,0.0021098322486877708,0.06392,0.00677,精度診断
A,1.0,10.0,8,1,float64,0.9999999958776927,0.007295692186922878,記述的評価,100000,0.005075753613562509,0.9992481065553783,0.0029271136478787596,0.06236,0.00664,整合
A,1.0,10.0,8,1,float32,0.9999999958776927,0.007295692186922878,記述的評価,100000,0.005074969492852688,0.9992481023073196,0.002927125692367555,0.06236,0.00664,精度診断
A,1.0,10.0,8,2,float64,0.9999999958776927,0.007295692186922878,記述的評価,100000,0.0018677193110264874,0.9980622752848056,0.001767663760533389,0.06393,0.00651,整合
A,1.0,10.0,8,2,float32,0.9999999958776927,0.007295692186922878,記述的評価,100000,0.00186249241232872,0.9980621188879013,0.0017676343727112132,0.06393,0.00651,精度診断
A,1.0,10.0,8,3,float64,0.9999999958776927,0.007295692186922878,記述的評価,100000,-0.015161962511676945,1.0108514705927405,0.006759696502926127,0.0647,0.00637,整合
A,1.0,10.0,8,3,float32,0.9999999958776927,0.007295692186922878,記述的評価,100000,-0.015163764357566833,1.010851427912712,0.006759571056365987,0.0647,0.00637,精度診断
A,1.0,10.0,8,4,float64,0.9999999958776927,0.007295692186922878,記述的評価,100000,-0.003657428078665429,0.9935119833316746,0.002058399199297234,0.0636,0.00625,整合
A,1.0,10.0,8,4,float32,0.9999999958776927,0.007295692186922878,記述的評価,100000,-0.0036572343669831753,0.9935053586959839,0.0020583501815795713,0.0636,0.00625,精度診断
A,1.0,10.0,8,5,float64,0.9999999958776927,0.007295692186922878,記述的評価,100000,0.003182493536456799,1.0070680753252566,0.0023149979759254924,0.06294,0.00639,整合
A,1.0,10.0,8,5,float32,0.9999999958776927,0.007295692186922878,記述的評価,100000,0.003188811242580414,1.0070679485797882,0.0023152040100097304,0.06294,0.00639,精度診断
A,1.0,10.0,8,6,float64,0.9999999958776927,0.007295692186922878,記述的評価,100000,-0.0009780882997689824,0.9938734375557974,0.0038612961162047543,0.06226,0.00611,整合
A,1.0,10.0,8,6,float32,0.9999999958776927,0.007295692186922878,記述的評価,100000,-0.000946963089518249,0.9937644973397255,0.003871320066452022,0.06227,0.00612,精度診断
A,1.0,10.0,8,7,float64,0.9999999958776927,0.007295692186922878,記述的評価,100000,0.004805019004128204,0.9997525926707898,0.0019395473609661318,0.06386,0.00619,整合
A,1.0,10.0,8,7,float32,0.9999999958776927,0.007295692186922878,記述的評価,100000,0.004806662909686565,0.999752588570118,0.0019397438240050802,0.06385,0.00619,精度診断
A,1.0,10.0,8,8,float64,0.9999999958776927,0.007295692186922878,記述的評価,100000,0.0008729508147325302,1.00711311294083,0.00296212658807557,0.06435,0.00654,整合
