stage,beta,gamma0,condition,seed,dtype,nonfinite,first_failure_step,first_failure_index,zero_count,max_abs,min_pole
C,1.005,0.12192611348882824,5,3,float64,0,,,0,23078.4011302061,4.333055802829833e-05
C,1.005,0.12192611348882824,5,4,float64,0,,,0,21890.384053368707,4.568215874445336e-05
C,1.005,0.12192611348882824,5,5,float64,0,,,0,11852.104917625118,8.437319822540701e-05
C,1.005,0.12192611348882824,5,6,float64,0,,,0,24567.610623088534,4.070399904931854e-05
C,1.005,0.12192611348882824,5,7,float64,0,,,0,56627.76257607585,1.7659182605989088e-05
C,1.005,0.12192611348882824,5,8,float64,0,,,0,9048.167173941352,0.00011051961979746672
C,1.005,0.12192611348882824,5,9,float64,0,,,0,25172.618206607578,3.972570478238957e-05
C,1.005,0.12192611348882824,5,10,float64,0,,,0,9366.105474413778,0.00010676796230102426
C,1.005,0.12192611348882824,5,11,float64,0,,,0,14506.717429807553,6.893358220105839e-05
C,1.005,0.12192611348882824,5,12,float64,0,,,0,14395.854626872666,6.946444127908791e-05
C,1.005,0.12192611348882824,5,13,float64,0,,,0,333546.40236706735,2.998083603600321e-06
C,1.005,0.12192611348882824,5,14,float64,0,,,0,4059.1449290618407,0.0002463572987034812
C,1.005,0.12192611348882824,5,15,float64,0,,,0,11499.619685389365,8.695939733982527e-05
C,1.005,0.12192611348882824,5,16,float64,0,,,0,41945.57307616788,2.3840418105436356e-05
C,1.005,0.12192611348882824,5,17,float64,0,,,0,10496.927877095657,9.526596816566979e-05
C,1.005,0.12192611348882824,5,18,float64,0,,,0,15109.917323857668,6.61816988873909e-05
C,1.005,0.12192611348882824,5,19,float64,0,,,0,23910.041496938746,4.182343219882867e-05
C,1.01,0.17166177927933182,6,0,float64,0,,,0,294159.14658238436,3.3995203332359836e-06
C,1.01,0.17166177927933182,6,0,float32,0,,,0,3864.590087890625,0.000258759656224683
C,1.01,0.17166177927933182,6,1,float64,0,,,0,40711.015425616504,2.4563376505026824e-05
C,1.01,0.17166177927933182,6,1,float32,0,,,0,35751.98828125,2.79704716543705e-05
C,1.01,0.17166177927933182,6,2,float64,0,,,0,17572.92004283306,5.69057388575267e-05
C,1.01,0.17166177927933182,6,2,float32,0,,,0,446.4543151855469,0.002239867052759692
C,1.01,0.17166177927933182,6,3,float64,0,,,0,109702.41786753076,9.115569378437272e-06
C,1.01,0.17166177927933182,6,3,float32,0,,,0,3864.590087890625,0.000258759656224683
C,1.01,0.17166177927933182,6,4,float64,0,,,0,67365.23698825516,1.484445159904979e-05
C,1.01,0.17166177927933182,6,4,float32,0,,,0,3864.590087890625,0.000258759656224683
C,1.01,0.17166177927933182,6,5,float64,0,,,0,151773.80160076826,6.588752402780784e-06
C,1.01,0.17166177927933182,6,5,float32,0,,,0,3864.590087890625,0.000258759656224683
C,1.01,0.17166177927933182,6,6,float64,0,,,0,44908.242826117676,2.226762698587237e-05
C,1.01,0.17166177927933182,6,6,float32,0,,,0,3864.590087890625,0.000258759656224683
C,1.01,0.17166177927933182,6,7,float64,0,,,0,62873.05428169958,1.590506475857012e-05
C,1.01,0.17166177927933182,6,7,float32,0,,,0,3864.590087890625,0.000258759656224683
C,1.01,0.17166177927933182,6,8,float64,0,,,0,150475.96742795032,6.645579470720975e-06
C,1.01,0.17166177927933182,6,8,float32,0,,,0,3864.590087890625,0.000258759656224683
C,1.01,0.17166177927933182,6,9,float64,0,,,0,15716.531143393515,6.362727178954586e-05
C,1.01,0.17166177927933182,6,9,float32,0,,,0,14561.0263671875,6.86764756618885e-05
C,1.01,0.17166177927933182,6,10,float64,0,,,0,18830.19499947276,5.310619455012322e-05
C,1.01,0.17166177927933182,6,10,float32,0,,,0,4491.5712890625,0.00022263924149079628
C,1.01,0.17166177927933182,6,11,float64,0,,,0,10154.508665622394,9.847842270827023e-05
C,1.01,0.17166177927933182,6,11,float32,0,,,0,12780.3681640625,7.82450053353756e-05
C,1.01,0.17166177927933182,6,12,float64,0,,,0,44509.004381832354,2.2467363935074758e-05
C,1.01,0.17166177927933182,6,12,float32,0,,,0,3864.590087890625,0.000258759656224683
