suite,batch,eta,kappa_index,kappa,snapshot,bins,hx_bits,hy_bits,hxy_bits,hcond_bits,mi_bits,mismatch_probability,fano_bound_bits,sync_fraction,median_logd,invalid_count,valid_count,shuffle_mi_bits,ever_entered_fraction,reexit_fraction,mean_exit_count
main,1,1e-06,7,0.3985318486896931,0,16,3.998859270821984,3.998859270821984,7.9720505245403235,3.9731912537183396,0.025668017103644303,0.936279296875,3.9999817655730334,0.0,-0.41984138284523786,0,4096,0.024149060646738718,0.0,0.0,0.0
main,1,1e-06,7,0.3985318486896931,0,32,4.997426633458533,4.997426633458533,9.901812493060312,4.9043858596017795,0.09304077385675313,0.967529296875,4.999964932761817,0.0,-0.41984138284523786,0,4096,0.08260753632669626,0.0,0.0,0.0
main,1,1e-06,7,0.3985318486896931,100,8,2.9990132379276844,2.9990132379276844,3.0180970705451187,0.019083832617434293,2.97992940531025,0.001708984375,0.022971247794113955,0.958984375,-45.36909163078259,0,4096,0.007013823758345694,0.999267578125,0.479248046875,0.944091796875
main,1,1e-06,7,0.3985318486896931,100,16,3.997939432598526,3.997939432598526,4.020422898783384,0.022483466184857637,3.9754559664136684,0.002197265625,0.03115299568531829,0.958984375,-45.36909163078259,0,4096,0.021645605563003656,0.999267578125,0.479248046875,0.944091796875
main,1,1e-06,7,0.3985318486896931,100,32,4.994813013901193,4.994813013901193,5.021974974490138,0.027161960588944822,4.967651053312248,0.0029296875,0.04338812537379085,0.958984375,-45.36909163078259,0,4096,0.08952820613661316,0.999267578125,0.479248046875,0.944091796875
main,1,1e-06,7,0.3985318486896931,1000,8,2.999216781959259,2.999216781959259,2.999216781959259,0.0,2.999216781959259,0.0,0.0,1.0,-407.45770419575285,0,4096,0.0063220955665688194,1.0,0.490478515625,1.083984375
main,1,1e-06,7,0.3985318486896931,1000,16,3.996582737301364,3.996582737301364,3.996582737301364,0.0,3.996582737301364,0.0,0.0,1.0,-407.45770419575285,0,4096,0.020488646631960705,1.0,0.490478515625,1.083984375
main,1,1e-06,7,0.3985318486896931,1000,32,4.992653737159402,4.992653737159402,4.992653737159402,0.0,4.992653737159402,0.0,0.0,1.0,-407.45770419575285,0,4096,0.09828101121008181,1.0,0.490478515625,1.083984375
main,1,1e-06,7,0.3985318486896931,7500,8,2.99901363452227,2.99901363452227,2.99901363452227,0.0,2.99901363452227,0.0,0.0,1.0,-3011.988802917702,0,4096,0.003526918333729867,1.0,0.490478515625,1.083984375
main,1,1e-06,7,0.3985318486896931,7500,16,3.997451440717061,3.997451440717061,3.997451440717061,0.0,3.997451440717061,0.0,0.0,1.0,-3011.988802917702,0,4096,0.020257824181223683,1.0,0.490478515625,1.083984375
main,1,1e-06,7,0.3985318486896931,7500,32,4.992182233118829,4.992182233118829,4.992182233118829,0.0,4.992182233118829,0.0,0.0,1.0,-3011.988802917702,0,4096,0.09452824139996352,1.0,0.490478515625,1.083984375
main,1,1e-06,7,0.3985318486896931,30000,8,2.9989037399794585,2.9989037399794585,2.9989037399794585,0.0,2.9989037399794585,0.0,0.0,1.0,-12018.401831470934,0,4096,0.009633858981498378,1.0,0.490478515625,1.083984375
main,1,1e-06,7,0.3985318486896931,30000,16,3.998008314286978,3.998008314286978,3.998008314286978,0.0,3.998008314286978,0.0,0.0,1.0,-12018.401831470934,0,4096,0.02278433402455793,1.0,0.490478515625,1.083984375
main,1,1e-06,7,0.3985318486896931,30000,32,4.9959683890327025,4.9959683890327025,4.9959683890327025,0.0,4.9959683890327025,0.0,0.0,1.0,-12018.401831470934,0,4096,0.09740517022853723,1.0,0.490478515625,1.083984375
main,1,1e-06,8,0.5,0,8,2.999458830488709,2.999458830488709,5.993278730777529,2.99381990028882,0.005638930199888925,0.86376953125,2.999188613569403,0.0,-0.41984138284523786,0,4096,0.005520100901168057,0.0,0.0,0.0
main,1,1e-06,8,0.5,0,16,3.998859270821984,3.998859270821984,7.9720505245403235,3.9731912537183396,0.025668017103644303,0.936279296875,3.9999817655730334,0.0,-0.41984138284523786,0,4096,0.022543455934895817,0.0,0.0,0.0
main,1,1e-06,8,0.5,0,32,4.997426633458533,4.997426633458533,9.901812493060312,4.9043858596017795,0.09304077385675313,0.967529296875,4.999964932761817,0.0,-0.41984138284523786,0,4096,0.08978937987084734,0.0,0.0,0.0
main,1,1e-06,8,0.5,100,8,2.998064019817085,2.998064019817085,2.998064019817085,0.0,2.998064019817085,0.0,0.0,1.0,-inf,0,4096,0.00626416006442021,1.0,0.0,0.0
main,1,1e-06,8,0.5,100,16,3.997198442320709,3.997198442320709,3.997198442320709,0.0,3.997198442320709,0.0,0.0,1.0,-inf,0,4096,0.019923621251413337,1.0,0.0,0.0
main,1,1e-06,8,0.5,100,32,4.994952950626365,4.994952950626365,4.994952950626365,0.0,4.994952950626365,0.0,0.0,1.0,-inf,0,4096,0.07896179656149016,1.0,0.0,0.0
main,1,1e-06,8,0.5,1000,8,2.999272819593453,2.999272819593453,2.999272819593453,0.0,2.999272819593453,0.0,0.0,1.0,-inf,0,4096,0.008422389943682163,1.0,0.0,0.0
main,1,1e-06,8,0.5,1000,16,3.9975161852350283,3.9975161852350283,3.9975161852350283,0.0,3.9975161852350283,0.0,0.0,1.0,-inf,0,4096,0.01897010681237976,1.0,0.0,0.0
main,1,1e-06,8,0.5,1000,32,4.995106914432944,4.995106914432944,4.995106914432944,0.0,4.995106914432944,0.0,0.0,1.0,-inf,0,4096,0.09218831173594566,1.0,0.0,0.0
main,1,1e-06,8,0.5,7500,8,2.999240362105647,2.999240362105647,2.999240362105647,0.0,2.999240362105647,0.0,0.0,1.0,-inf,0,4096,0.0056850162907355895,1.0,0.0,0.0
