suite,eta,kappa_index,kappa,snapshot,bins,batch_count,hx_bits_mean,hx_bits_batch_sd,hy_bits_mean,hy_bits_batch_sd,hxy_bits_mean,hxy_bits_batch_sd,hcond_bits_mean,hcond_bits_batch_sd,mi_bits_mean,mi_bits_batch_sd,mismatch_probability_mean,mismatch_probability_batch_sd,fano_bound_bits_mean,fano_bound_bits_batch_sd,sync_fraction_mean,sync_fraction_batch_sd,median_logd_mean,median_logd_batch_sd,invalid_count_mean,invalid_count_batch_sd,valid_count_mean,valid_count_batch_sd,shuffle_mi_bits_mean,shuffle_mi_bits_batch_sd,ever_entered_fraction_mean,ever_entered_fraction_batch_sd,reexit_fraction_mean,reexit_fraction_batch_sd,mean_exit_count_mean,mean_exit_count_batch_sd
main,1e-06,6,0.3585318486896931,1000,8,4,2.998968003867861,0.0005296704693721994,2.998968003867861,0.0005296704693721994,3.0419247796447957,0.009954404823064453,0.04295677577693402,0.009616300542009232,2.9560112280909276,0.009296095871885962,0.004150390625,0.0010358009490037316,0.050327342407662456,0.011078492865451787,0.96270751953125,0.0036451157363218013,-94.4119066869028,1.0269555203586493,0.0,0.0,4096.0,0.0,0.004789555579124416,0.00153640916661464,1.0,0.0,0.85540771484375,0.005529214746783136,5.65765380859375,0.08899149043767103
main,1e-06,6,0.3585318486896931,1000,16,4,3.9976333556440844,0.000918812077149516,3.9976333556440844,0.000918812077149516,4.059548081802442,0.012813190628569601,0.061914726158356026,0.012164326586767332,3.935718629485729,0.011552153903114211,0.00634765625,0.0013071597008633635,0.08011457284499604,0.014672536352601975,0.96270751953125,0.0036451157363218013,-94.4119066869028,1.0269555203586493,0.0,0.0,4096.0,0.0,0.021148460912474132,0.0010685598672576157,1.0,0.0,0.85540771484375,0.005529214746783136,5.65765380859375,0.08899149043767103
main,1e-06,6,0.3585318486896931,1000,32,4,4.994522808704955,0.0024288230183974278,4.994522808704955,0.0024288230183974278,5.075291988288392,0.018828387496220206,0.0807691795834371,0.0169290417652821,4.913753629121517,0.015181406291345489,0.0087890625,0.0018805696628078359,0.11596868341032063,0.02228158561194935,0.96270751953125,0.0036451157363218013,-94.4119066869028,1.0269555203586493,0.0,0.0,4096.0,0.0,0.09605354892080653,0.007918151769070346,1.0,0.0,0.85540771484375,0.005529214746783136,5.65765380859375,0.08899149043767103
main,1e-06,6,0.3585318486896931,7500,8,4,2.9992539319463347,0.00015472432654013956,2.9992539319463347,0.00015472432654013956,2.9992539319463347,0.00015472432654013956,0.0,0.0,2.9992539319463347,0.00015472432654013956,0.0,0.0,0.0,0.0,0.99981689453125,0.0001220703125,-546.1037587796093,2.595788274491972,0.0,0.0,4096.0,0.0,0.00537704765036362,0.00160277335531235,1.0,0.0,0.868408203125,0.005821956257330703,7.4345703125,0.156717871488858
main,1e-06,6,0.3585318486896931,7500,16,4,3.997770968359495,0.0006042797393819234,3.997770968359495,0.0006042797393819234,3.997770968359495,0.0006042797393819234,0.0,0.0,3.997770968359495,0.0006042797393819234,0.0,0.0,0.0,0.0,0.99981689453125,0.0001220703125,-546.1037587796093,2.595788274491972,0.0,0.0,4096.0,0.0,0.020506115227995947,0.0012015834824197634,1.0,0.0,0.868408203125,0.005821956257330703,7.4345703125,0.156717871488858
main,1e-06,6,0.3585318486896931,7500,32,4,4.994789936750548,0.001472740099294327,4.994789936750548,0.001472740099294327,4.994789936750548,0.001472740099294327,0.0,0.0,4.994789936750548,0.001472740099294327,0.0,0.0,0.0,0.0,0.99981689453125,0.0001220703125,-546.1037587796093,2.595788274491972,0.0,0.0,4096.0,0.0,0.0914172880375137,0.0065948017698756745,1.0,0.0,0.868408203125,0.005821956257330703,7.4345703125,0.156717871488858
main,1e-06,6,0.3585318486896931,30000,8,4,2.99883015540996,0.000995451072151806,2.99883015540996,0.000995451072151806,2.99883015540996,0.000995451072151806,0.0,0.0,2.99883015540996,0.000995451072151806,0.0,0.0,0.0,0.0,1.0,0.0,-2079.4016107157754,7.966059821445453,0.0,0.0,4096.0,0.0,0.0051965814238668084,0.0018620291247576687,1.0,0.0,0.868408203125,0.005821956257330703,7.45623779296875,0.15878582615230752
main,1e-06,6,0.3585318486896931,30000,16,4,3.99743471425685,0.0015204949818052012,3.99743471425685,0.0015204949818052012,3.99743471425685,0.0015204949818052012,0.0,0.0,3.99743471425685,0.0015204949818052012,0.0,0.0,0.0,0.0,1.0,0.0,-2079.4016107157754,7.966059821445453,0.0,0.0,4096.0,0.0,0.020750612711676775,0.003139409892469175,1.0,0.0,0.868408203125,0.005821956257330703,7.45623779296875,0.15878582615230752
main,1e-06,6,0.3585318486896931,30000,32,4,4.994797720437926,0.0025998324818084784,4.994797720437926,0.0025998324818084784,4.994797720437926,0.0025998324818084784,0.0,0.0,4.994797720437926,0.0025998324818084784,0.0,0.0,0.0,0.0,1.0,0.0,-2079.4016107157754,7.966059821445453,0.0,0.0,4096.0,0.0,0.08789780311847384,0.006264709943068036,1.0,0.0,0.868408203125,0.005821956257330703,7.45623779296875,0.15878582615230752
main,1e-06,7,0.3985318486896931,0,8,4,2.999477666909165,0.0002356470483412338,2.999477666909165,0.0002356470483412338,5.9940211198096724,0.0007733367465883726,2.9945434529005075,0.0007601843872510873,0.0049342140086579,0.0008177835559612366,0.8729248046875,0.0071498893000073805,2.9997235229857933,0.0003622571885006432,0.0,0.0,-0.41371581344517555,0.007406086252428738,0.0,0.0,4096.0,0.0,0.005313145744755943,0.0020388631222159636,0.0,0.0,0.0,0.0,0.0,0.0
