trajectory,s0,common_mean,common_theory,k0_positive_fraction_w256,k0_positive_fraction_w4096,k1_positive_fraction_w256,k1_positive_fraction_w4096,k2_positive_fraction_w256,k2_positive_fraction_w4096,k3_positive_fraction_w256,k3_positive_fraction_w4096,k4_positive_fraction_w256,k4_positive_fraction_w4096,k5_positive_fraction_w256,k5_positive_fraction_w4096,k6_positive_fraction_w256,k6_positive_fraction_w4096,k7_positive_fraction_w256,k7_positive_fraction_w4096,k8_positive_fraction_w256,k8_positive_fraction_w4096
190,-0.4019890361858694,1.1929400079565853,1.1942327179468006,1.0,1.0,0.859375,1.0,0.6640625,1.0,0.5625,0.5,0.4921875,0.375,0.421875,0.125,0.2578125,0.0,0.0,0.0,0.0,0.0
191,-0.7894099877809043,1.2094644671036106,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.703125,1.0,0.578125,0.75,0.5703125,0.625,0.5546875,0.5,0.40625,0.125,0.0,0.0,0.0,0.0
192,0.08244060733336721,1.1831825617890102,1.1942327179468006,1.0,1.0,0.796875,1.0,0.6484375,1.0,0.515625,0.625,0.4921875,0.375,0.453125,0.125,0.28125,0.0,0.0,0.0,0.0,0.0
193,-0.13241753569959083,1.2190524449936317,1.1942327179468006,1.0,1.0,0.828125,1.0,0.6875,1.0,0.609375,0.875,0.578125,0.75,0.53125,0.625,0.40625,0.125,0.0078125,0.0,0.0,0.0
194,1.0689551906390666,1.2094795641653495,1.1942327179468006,1.0,1.0,0.8515625,1.0,0.7109375,1.0,0.546875,0.875,0.515625,0.5,0.46875,0.5,0.3359375,0.125,0.0,0.0,0.0,0.0
195,-3.5440882952973616,1.186099706751643,1.1942327179468006,1.0,1.0,0.8125,1.0,0.6796875,1.0,0.5234375,0.625,0.4921875,0.625,0.4453125,0.375,0.265625,0.0,0.0,0.0,0.0,0.0
196,5.010153622383039,1.213844533051121,1.1942327179468006,1.0,1.0,0.859375,1.0,0.7421875,1.0,0.59375,0.75,0.5546875,0.75,0.5234375,0.625,0.328125,0.0,0.0,0.0,0.0,0.0
197,-15.889714911274256,1.192370627018631,1.1942327179468006,1.0,1.0,0.765625,1.0,0.6328125,1.0,0.515625,0.625,0.4921875,0.5,0.46875,0.5,0.3359375,0.0,0.0078125,0.0,0.0,0.0
198,-0.5982556418803595,1.1805005521514849,1.1942327179468006,1.0,1.0,0.7734375,1.0,0.6640625,1.0,0.5546875,0.375,0.5,0.25,0.4453125,0.25,0.3359375,0.0,0.0,0.0,0.0,0.0
199,0.4558305665914791,1.2114317451918748,1.1942327179468006,1.0,1.0,0.875,1.0,0.75,1.0,0.5859375,0.875,0.546875,0.75,0.5078125,0.25,0.3125,0.125,0.0,0.0,0.0,0.0
200,5.70902474200715,1.213834857826962,1.1942327179468006,1.0,1.0,0.84375,1.0,0.7109375,1.0,0.5703125,0.875,0.5078125,0.625,0.484375,0.625,0.3359375,0.0,0.015625,0.0,0.0,0.0
201,0.6220810624655737,1.2085440995283874,1.1942327179468006,1.0,1.0,0.859375,1.0,0.6171875,0.875,0.53125,0.625,0.5078125,0.625,0.484375,0.625,0.3515625,0.125,0.0,0.0,0.0,0.0
202,-1.1693325732913005,1.1925687810402124,1.1942327179468006,1.0,1.0,0.8671875,1.0,0.7109375,1.0,0.53125,0.5,0.4921875,0.5,0.4140625,0.375,0.265625,0.0,0.0,0.0,0.0,0.0
203,1.2992060237757619,1.166113653105058,1.1942327179468006,1.0,1.0,0.765625,1.0,0.5703125,0.75,0.4296875,0.125,0.3984375,0.125,0.375,0.125,0.2578125,0.0,0.0,0.0,0.0,0.0
204,-0.34958263259851574,1.1965045530879055,1.1942327179468006,1.0,1.0,0.7734375,1.0,0.671875,1.0,0.5625,0.625,0.5234375,0.625,0.5078125,0.125,0.3203125,0.125,0.0,0.0,0.0,0.0
205,1.0087264169797794,1.1935740114677236,1.1942327179468006,1.0,1.0,0.828125,1.0,0.6328125,1.0,0.5234375,0.5,0.46875,0.5,0.453125,0.375,0.328125,0.0,0.0078125,0.0,0.0,0.0
206,-0.3920966460852164,1.1696853516889436,1.1942327179468006,1.0,1.0,0.7890625,1.0,0.6015625,0.875,0.4140625,0.125,0.390625,0.125,0.359375,0.125,0.265625,0.125,0.0,0.0,0.0,0.0
207,-1.5377086439416594,1.199226737129642,1.1942327179468006,1.0,1.0,0.828125,1.0,0.6640625,1.0,0.5546875,0.875,0.5390625,0.75,0.484375,0.375,0.3046875,0.0,0.0,0.0,0.0,0.0
208,-2.7158563231790644,1.195585394713669,1.1942327179468006,1.0,1.0,0.75,1.0,0.6640625,1.0,0.5546875,0.625,0.5390625,0.5,0.5,0.5,0.359375,0.125,0.0078125,0.0,0.0,0.0
209,-0.4737705415528734,1.2013517210215177,1.1942327179468006,1.0,1.0,0.8515625,1.0,0.703125,1.0,0.546875,0.75,0.484375,0.625,0.484375,0.375,0.34375,0.0,0.0,0.0,0.0,0.0
210,-2.5321081471531235,1.2056920699688316,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.6328125,1.0,0.53125,0.625,0.4921875,0.625,0.46875,0.625,0.34375,0.0,0.0,0.0,0.0,0.0
211,-0.9785384011225717,1.2164667080673424,1.1942327179468006,1.0,1.0,0.8671875,1.0,0.734375,1.0,0.5625,0.875,0.5078125,0.75,0.4453125,0.625,0.3203125,0.0,0.015625,0.0,0.0,0.0
212,0.15100073054981683,1.1926766927589814,1.1942327179468006,1.0,1.0,0.8203125,1.0,0.7109375,1.0,0.5234375,0.75,0.4609375,0.5,0.421875,0.25,0.2578125,0.0,0.0,0.0,0.0,0.0
213,22.131188486263323,1.2067691295715637,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.6875,1.0,0.5703125,0.625,0.5546875,0.375,0.5,0.375,0.359375,0.125,0.0234375,0.0,0.0,0.0
214,-0.4381747951963426,1.1907742615590793,1.1942327179468006,1.0,1.0,0.796875,1.0,0.625,1.0,0.5234375,0.625,0.484375,0.375,0.453125,0.375,0.2890625,0.0,0.015625,0.0,0.0,0.0
215,-0.6842065504497206,1.2052453843964104,1.1942327179468006,1.0,1.0,0.8359375,1.0,0.7109375,1.0,0.546875,0.875,0.515625,0.5,0.484375,0.375,0.34375,0.0,0.015625,0.0,0.0,0.0
216,0.08340028714852746,1.210108767120609,1.1942327179468006,1.0,1.0,0.859375,1.0,0.7421875,0.875,0.609375,0.875,0.546875,0.875,0.484375,0.625,0.34375,0.0,0.0078125,0.0,0.0,0.0
217,-1.4520629693561966,1.221310399271922,1.1942327179468006,1.0,1.0,0.8984375,1.0,0.6796875,1.0,0.578125,0.875,0.5625,0.75,0.53125,0.75,0.390625,0.125,0.0,0.0,0.0,0.0
218,-0.27755136495734983,1.179690688589208,1.1942327179468006,1.0,1.0,0.78125,1.0,0.65625,1.0,0.484375,0.25,0.46875,0.25,0.4140625,0.125,0.2734375,0.0,0.0,0.0,0.0,0.0
219,-0.02368486482316842,1.2082537745140212,1.1942327179468006,1.0,1.0,0.765625,1.0,0.671875,1.0,0.609375,0.75,0.5859375,0.75,0.5390625,0.5,0.390625,0.0,0.0078125,0.0,0.0,0.0
220,0.472491843520782,1.2017423913802125,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.7109375,1.0,0.5703125,0.75,0.5390625,0.625,0.484375,0.5,0.3203125,0.0,0.0078125,0.0,0.0,0.0
221,1.2662088782687682,1.2000909635086554,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.6875,1.0,0.5859375,0.75,0.5546875,0.625,0.5390625,0.375,0.3671875,0.0,0.0,0.0,0.0,0.0
