model,seed,rmse,mae,r2
fourier_cayley_shuffle,530021,0.10094310195028416,0.090489228677247,-0.27368872891818286
fourier_cayley_shuffle,530022,0.09971459242228982,0.08303272962662787,-0.24287499274292235
fourier_cayley_shuffle,530023,0.08625651220520061,0.08129176715647608,0.06997676277425957
fourier_cayley_shuffle,530024,0.08355675242834679,0.07029785840903416,0.12728364045349538
fourier_cayley_shuffle,530025,0.06952492921957051,0.06507417732728604,0.3957855271267138
fourier_cayley_shuffle,530026,0.08348188609919725,0.07081833974176653,0.12884683666508212
fourier_cayley_shuffle,530027,0.08368012381748831,0.07132032605562014,0.12470460973622832
fourier_cayley_shuffle,530028,0.07076109585465232,0.06645405123110425,0.3741084141810884
fourier_cayley_shuffle,530029,0.0722441930080127,0.06184661708641066,0.34759707207762625
fourier_cayley_shuffle,530030,0.06829762119662688,0.0541862745790158,0.41692936736025776
fourier_cayley_shuffle,530031,0.07598279085332174,0.06283719009840592,0.27832693676754583
fourier_cayley_shuffle,530032,0.10647332080979441,0.09494798111826837,-0.417071005533175
fourier_cayley_shuffle,530033,0.09441469866766075,0.08338220933142142,-0.11426691556314772
fourier_cayley_shuffle,530034,0.07555748028766741,0.07249656908632576,0.2863833965723437
fourier_cayley_shuffle,530035,0.09167933017306516,0.08267142326321734,-0.05063744762273692
fourier_cayley_shuffle,530036,0.07279431237678137,0.06415017260606852,0.3376235106989468
fourier_cayley_shuffle,530037,0.09578529143337439,0.0752236187899269,-0.1468527568720579
fourier_cayley_shuffle,530038,0.09094339149768903,0.08553772041460588,-0.03383755713774206
fourier_cayley_shuffle,530039,0.09604276249009536,0.08036289369694337,-0.1530265283411083
fourier_cayley_shuffle,530040,0.09377049030551506,0.08624060418614013,-0.09911310651708649
fourier_cayley_shuffle,530041,0.0935200336218899,0.07744536776944462,-0.09324958607992717
fourier_cayley_shuffle,530042,0.08234877323441973,0.07183039207360485,0.15233494334826447
fourier_cayley_shuffle,530043,0.06911509160728922,0.06356977292633446,0.40288801401450236
fourier_cayley_shuffle,530044,0.10247354698202848,0.08731574194294542,-0.31260347888475004
fourier_cayley_shuffle,530045,0.1085993054968568,0.10329808472539898,-0.4742261442999538
fourier_cayley_shuffle,530046,0.06462214349043899,0.052005370452055,0.47799732133763917
fourier_cayley_shuffle,530047,0.10055300589693908,0.081669189225846,-0.2638633743637331
tm_instant,530000,0.07902784377638514,0.07111709417049379,0.21932498850690818
tm_instant,530001,0.08993800332217528,0.07708274421660154,-0.011105555197451267
tm_instant,530002,0.07329932231917215,0.06270596145107561,0.3284011684437639
tm_instant,530003,0.08405402060971448,0.06858724510564608,0.11686520241771181
tm_instant,530004,0.06646496482658373,0.06030688810636112,0.44780105632512346
tm_instant,530005,0.10532344250165857,0.09573771562529315,-0.38662844255002216
tm_instant,530006,0.09057604168640189,0.07017827922850697,-0.025502415947101564
tm_instant,530007,0.0842473526447663,0.06908031005165288,0.11279794654354869
tm_instant,530008,0.09754376106784458,0.08191904958746456,-0.18934816540759414
tm_instant,530009,0.07807741610176117,0.06613883775996592,0.23798963685905583
tm_instant,530010,0.11192217539925493,0.09052538677772544,-0.5658216682626982
tm_instant,530011,0.08492904713972592,0.07126878769739642,0.09838211899227645
tm_instant,530012,0.09079041676262703,0.08058419788996445,-0.030362471991438156
tm_instant,530013,0.08630595264613905,0.07987359748528336,0.06891031723030061
tm_instant,530014,0.0912012140675552,0.08416840202918517,-0.03970768092450361
tm_instant,530015,0.09394634932726581,0.08310604384602015,-0.10323956899008202
tm_instant,530016,0.09981298070352376,0.08814712064018958,-0.2453288896152508
