split,seed,alpha,initial_state,location,scale,repeated,near_1e12,near_1e10,near_1e8
train,510007,0.42,-2.620517750979295,0.045896837771980434,0.830300363421613,False,0,0,0
train,510007,0.5,-5.375235173509419,-0.006572989530212986,1.014663265608748,False,0,0,0
train,510007,0.58,1.32720389783734,-0.014917298513552637,1.195081207802082,False,0,0,0
train,510007,0.66,4.324189361208849,-0.033844130548019255,1.4069055625864473,False,0,0,0
train,510008,0.34,-0.4768069197301457,-0.012459602133147885,0.7150819405269935,False,0,0,0
train,510008,0.42,0.1674689113209,-0.04711282116480256,0.8329967171358372,False,0,0,0
train,510008,0.5,33.5762087856694,0.004331013941464235,1.0178069686641522,False,0,0,0
train,510008,0.58,0.4099398702418252,0.03700140632076837,1.1688884449474082,False,0,0,0
train,510008,0.66,-10.214768168370588,0.008832203192863746,1.3709472309993767,False,0,0,0
train,510009,0.34,0.8338122853083787,0.01030212408733544,0.7440503390418187,False,0,0,0
train,510009,0.42,-5.99315411684844,0.023405817648137095,0.9030982696178788,False,0,0,0
train,510009,0.5,-0.22344477455147568,0.02638583674131398,1.015656805271398,False,0,0,0
train,510009,0.58,1.8049980209909382,0.03494399424320242,1.1431521234662247,False,0,0,0
train,510009,0.66,0.6838117751022221,-0.05133157037021037,1.357462234871165,False,0,0,0
train,510010,0.34,-1.2379851998865807,0.003194660403006495,0.707982444578865,False,0,0,0
train,510010,0.42,-8.804440087596303,-0.028764534726507723,0.8114083962723366,False,0,0,0
train,510010,0.5,-0.9040210723812343,-0.05300469213890718,0.9661486000774842,False,0,0,0
train,510010,0.58,7.002160077001731,-0.008454501687586359,1.1713824601298894,False,0,0,0
train,510010,0.66,0.9690408874425249,0.009126341817567975,1.4018827128535865,False,0,0,0
train,510011,0.34,2.3516011182869105,-0.0031796146991505065,0.7143753840814673,False,0,0,0
train,510011,0.42,0.10771079719112073,0.004975172759185634,0.881564390528996,False,0,0,0
train,510011,0.5,-1.4405154872270756,0.04989821808747161,1.0775355274005118,False,0,0,0
train,510011,0.58,-8.860163527415272,-2.0590045935195986e-05,1.1825643781124653,False,0,0,0
train,510011,0.66,-0.14840120049094432,-0.002512215560635928,1.4310421301831842,False,0,0,0
train,510012,0.34,-0.016032786898881345,0.0054116576957288645,0.7505563340228186,False,0,0,0
train,510012,0.42,3.4614902596557604,0.026293641600278975,0.8507383528029372,False,0,0,0
train,510012,0.5,-6.401011781586249,-0.004497820167260302,0.9946239039009874,False,0,0,0
train,510012,0.58,1.6551818232818334,0.006873099972205883,1.1904328976111607,False,0,0,0
train,510012,0.66,0.4410511319394182,0.007079432856660312,1.3464164068516942,False,0,0,0
train,510013,0.34,-1.863800393028514,-0.03191520649433936,0.6907074198282911,False,0,0,0
train,510013,0.42,0.3469001574151033,-0.00659166869546907,0.8569826280982047,False,0,0,0
train,510013,0.5,-0.4921115798898403,0.028330184171462852,0.9978943344847597,False,0,0,0
train,510013,0.58,-1.5208274233210413,0.08119168004727674,1.1709633031934252,False,0,0,0
train,510013,0.66,2.7007381735068474,-0.006958099655318335,1.3849446430881631,False,0,0,0
train,510014,0.34,-0.04213057334892955,0.031037884022332166,0.7330997791111922,False,0,0,0
train,510014,0.42,-0.5488555992500156,-0.002420925452541827,0.8528725735874496,False,0,0,0
train,510014,0.5,-0.6595345283428468,-0.0037183601759211704,0.9755761018207469,False,0,0,0
train,510014,0.58,-2.6101801237538322,0.008456029635001826,1.1808003542613044,False,0,0,0
train,510014,0.66,3.488162116970696,-0.03478932797640055,1.4563430894908018,False,0,0,0
train,510015,0.34,-0.4578710410332258,-0.021667659426276083,0.7406413315423828,False,0,0,0
